cow_id,ground_truth_weight_kg,ground_truth_heart_girth_cm,upper_valley_ratio_from_rear,lower_valley_ratio_from_rear,upper_lower_valley_distance_m,midpoint_station_axis_from_centroid_m,method1_upper_half_arc_ridge_m,method1_lower_half_arc_ridge_m,method1_separate_valley_half_arcs_ridge_m,method1_separate_valley_half_arcs_pca_m,method1_ridge_minus_pca_m,method2_midpoint_full_arc_m,method2_midpoint_full_arc_split_at_ridge_m,method2_midpoint_full_arc_split_at_pca_m,method1_minus_method2_m,method1_vs_method2_absolute_difference_m,method1_vs_method2_absolute_difference_percent,ridge_reference_median_height_deficit_m,pca_reference_median_height_deficit_m,method1_valid_upper_profile_count,method1_valid_lower_profile_count,method2_valid_profile_count,method1_window_definition,method2_window_definition,surface_scope,method_version,status
1,415.0,172.0,0.5803451721610638,0.5423786655710876,0.0699999229350084,0.25240498359109087,0.24580890011049097,0.26045808579839097,0.506266985908882,0.4994670660226495,0.006799919886232464,0.542256484434365,0.5422564844343649,0.5422564844343649,-0.035989498525483055,0.035989498525483055,6.86479598090474,0.00012496768822978233,0.0008116781711577925,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
2,407.0,171.0,0.5035465156651197,0.5539011672316317,0.08999999898438257,0.15440566450126264,0.3450066542965345,0.2170420345314022,0.5620486888279367,0.5587462769908389,0.003302411837097785,0.6147879367488195,0.6147879367488195,0.6147879367488196,-0.052739247920882804,0.052739247920882804,8.962883509006327,0.0011293053609578996,0.004202771186828547,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
4,443.0,176.0,0.6081097436338758,0.5386114872185757,0.11999983257780028,0.2902094105562516,0.19757430291349226,0.3429854314682027,0.540559734381695,0.5340320965157378,0.006527637865957225,0.639204894765904,0.6392048947659041,0.6392048947659041,-0.09864516038420901,0.09864516038420901,16.722854363837286,0.0003221452236176203,0.003189212083816617,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
6,441.0,178.0,0.5811927504226382,0.5971888811682152,0.02999991873918456,0.3005095520277683,0.26463199415626737,0.29949035062796164,0.564122344784229,0.5625785041374693,0.0015438406467596089,0.5673140406744417,0.5673140406744416,0.5673140406744416,-0.0031916958902127313,0.0031916958902127313,0.564184771010145,0.00017347335815420806,0.000169569253921531,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
13,410.0,179.0,0.5225323123652895,0.56796990474488,0.08000012052397487,0.1877847639982595,0.3555484188057581,0.17002958220177994,0.525578001007538,0.5193290040263651,0.006248996981172983,0.559343730192192,0.5593437301921919,0.559343730192192,-0.033765729184653925,0.033765729184653925,6.224546566564769,0.0004916089988675765,0.005416959524154552,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
16,312.0,153.0,0.6392506795705036,0.574141814058693,0.11000000007983918,0.31900297361731544,0.16843044605574228,0.2783327036953237,0.446763149751066,0.4422730254336193,0.00449012431744672,0.4805523552771785,0.48055235527717843,0.48055235527717843,-0.033789205526112476,0.033789205526112476,7.2875316637962,9.00206789868907e-05,0.00701776146888744,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
20,441.0,181.0,0.5326749514826494,0.5601324232085592,0.05000003060683739,0.18550584633797,0.25610061106748105,0.3048274231383493,0.5609280342058304,0.5554544443000482,0.005473589905782172,0.5800355807095773,0.5800355807095774,0.5800355807095774,-0.01910754650374691,0.01910754650374691,3.3493699981245353,0.00016781091690065697,0.0022054314613342285,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
21,373.0,168.0,0.5839516800767554,0.5674247457349604,0.030000021028946416,0.2528200285067063,0.22624317826871668,0.30487997722719967,0.5311231554959164,0.5311215527646824,1.6027312339517152e-06,0.5528811845425495,0.5528811845425495,0.5528811845425494,-0.021758029046633154,0.021758029046633154,4.014380430591462,0.0,0.004372453689575173,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
22,394.0,177.0,0.5110376502063166,0.5999137632856761,0.1599999342525625,0.2037611562301937,0.2825159707696487,0.2412456405146223,0.523761611284271,0.5248700648567194,-0.0011084535724483757,0.5941524079389111,0.5941524079389111,0.5941524079389112,-0.0703907966546401,0.0703907966546401,12.593239809901192,0.0001384936882423693,0.0013403534889220303,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
23,439.0,177.0,0.5570387470937634,0.5684068847895545,0.020000168605987134,0.21931056782206562,0.19200522627243705,0.3719159377752775,0.5639211640477145,0.563939601954865,-1.843790715050364e-05,0.5560200548652341,0.5560200548652341,0.556020054865234,0.007901109182480437,0.007901109182480437,1.4109864069740217,0.0002998097536339728,0.006205481290817438,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
24,441.0,177.0,0.643815623886361,0.5193806713705096,0.23000000210283347,0.23728130732162284,0.16304320981281453,0.3697529406042572,0.5327961504170717,0.5296101895528897,0.0031859608641819914,0.5900633218362483,0.5900633218362482,0.5900633218362481,-0.05726717141917659,0.05726717141917659,10.20023837965308,0.003362487193870889,0.0061404585838320536,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
25,434.0,174.0,0.5903850876081421,0.5625367344190788,0.05000000855050385,0.2640161965796136,0.293694740896234,0.2675218292365058,0.5612165701327398,0.5610469129069262,0.0001696572258136353,0.5588407803549764,0.5588407803549764,0.5588407803549764,0.0023757897777634263,0.0023757897777634263,0.42422645174890655,0.0006731606372015753,0.0077817261219025324,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
26,414.0,174.0,0.5736631636390935,0.5295352279745478,0.0800000267451513,0.18024234406800704,0.2881910117788533,0.25451016063014914,0.5427011724090025,0.5376203340591963,0.005080838349806216,0.5554914664394444,0.5554914664394444,0.5554914664394444,-0.012790294030441851,0.012790294030441851,2.32933523281555,0.00015573178156158551,0.002832579612731756,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
27,400.0,174.0,0.6005517024963413,0.5665582099022087,0.059999863622665905,0.2650410294469332,0.2538696218663371,0.3431154507746883,0.5969850726410254,0.6019162847689706,-0.004931212127945228,0.6284693614198816,0.6284693614198816,0.6284693614198815,-0.03148428877885623,0.03148428877885623,5.138385876090667,0.0015660762786866567,0.004822528362274148,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
28,464.0,183.0,0.5481841629530718,0.5770359610032335,0.049999968534713696,0.21403234353159917,0.3976442349123218,0.21955420120179162,0.6171984361141134,0.619886749592848,-0.0026883134787345497,0.6274684347062257,0.6274684347062256,0.6274684347062256,-0.010269998592112306,0.010269998592112306,1.6502405314835,0.0003784983102368411,0.048070055246352994,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
39,437.0,179.0,0.5190246970282869,0.5971574471185667,0.13999998540843356,0.23782208825844672,0.35720588264393305,0.21663227076381422,0.5738381534077472,0.563729186595887,0.010108966811860243,0.6468061739974733,0.6468061739974731,0.6468061739974732,-0.07296802058972607,0.07296802058972607,11.955656361396857,0.00035529291961922116,0.0018982291221617542,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
