cow_id,boundary_method,boundary_method_version,volume_method_version,top_source_ply,right_source_ply,top_core_length_m,right_rear_boundary_x_m,right_head_boundary_x_m,right_core_length_m,right_rear_boundary_profile_u_m,right_head_boundary_profile_u_m,slice_count,slice_thickness_m,mean_top_width_m,mean_corrected_right_depth_m,min_corrected_right_depth_m,max_corrected_right_depth_m,elliptical_core_torso_volume_m3,elliptical_core_torso_volume_l,right_profile_extrapolated_slice_fraction,right_boundary_outside_valid_profile,rightview_horizontal_rotation_deg,leg_udder_handling,cross_section_assumption,status
1,proportional,rightview_full_body_endpoint_proportional_pca45_48_v1.0,top_width_right_depth_elliptical_slices_1cm_v1.0,dataset/1/top-12.09.07.765.ply,dataset/1/right-12.09.07.778.ply,1.3,0.7428816595457204,-0.6289012958035809,1.3717829553493013,0.8212559406706286,-0.5590225350030964,130,0.01,0.44546991160123817,0.6382372045322373,0.5065343948241757,0.7140691939049001,0.290394554620516,290.394554620516,0.0,False,5.344736946044122,41cm rolling 90pct corrected belly contour,ellipse_area=pi*top_width*corrected_right_depth/4,ok
2,proportional,rightview_full_body_endpoint_proportional_pca45_48_v1.0,top_width_right_depth_elliptical_slices_1cm_v1.0,dataset/2/top-12.15.22.142.ply,dataset/2/right-12.15.22.188.ply,1.22,0.8053591598614204,-0.4923513306048184,1.2977104904662387,0.9053868046726792,-0.39794125285118215,122,0.01,0.46850134784512165,0.6066587455319611,0.5615765262606432,0.6405135902541267,0.2711632261801472,271.1632261801472,0.0,False,7.173774493407854,41cm rolling 90pct corrected belly contour,ellipse_area=pi*top_width*corrected_right_depth/4,ok
4,proportional,rightview_full_body_endpoint_proportional_pca45_48_v1.0,top_width_right_depth_elliptical_slices_1cm_v1.0,dataset/4/top-12.24.08.106.ply,dataset/4/right-12.24.08.096.ply,1.38,0.5879883843634565,-0.9517267551212015,1.539715139484658,0.6628400517904139,-0.8955144468704657,138,0.009999999999999998,0.46642538707732506,0.5697129660069982,0.45573460105865615,0.677211539531705,0.2868111448534655,286.81114485346546,0.0,False,4.686757208299854,41cm rolling 90pct corrected belly contour,ellipse_area=pi*top_width*corrected_right_depth/4,ok
6,proportional,rightview_full_body_endpoint_proportional_pca45_48_v1.0,top_width_right_depth_elliptical_slices_1cm_v1.0,dataset/6/top-12.31.11.495.ply,dataset/6/right-12.31.11.492.ply,1.45,0.7477566238038066,-0.8328375462073369,1.5805941700111434,0.8145708692120879,-0.7731405690420394,145,0.01,0.45381663248779913,0.5958854686112781,0.47933668014132436,0.6863375385126183,0.308803928721342,308.803928721342,0.013793103448275862,False,4.385381859114125,41cm rolling 90pct corrected belly contour,ellipse_area=pi*top_width*corrected_right_depth/4,ok
13,proportional,rightview_full_body_endpoint_proportional_pca45_48_v1.0,top_width_right_depth_elliptical_slices_1cm_v1.0,dataset/13/top-12.59.51.546.ply,dataset/13/right-12.59.51.501.ply,1.27,0.8694221289709178,-0.5668626619555802,1.436284790926498,0.9541972273842445,-0.4933134043814396,127,0.01,0.4457967217333803,0.5816361274628717,0.31457697957432107,0.6758881896026836,0.2571961811100165,257.19618111001654,0.015748031496062992,False,5.884134344447547,41cm rolling 90pct corrected belly contour,ellipse_area=pi*top_width*corrected_right_depth/4,ok
16,proportional,rightview_full_body_endpoint_proportional_pca45_48_v1.0,top_width_right_depth_elliptical_slices_1cm_v1.0,dataset/16/top-13.12.28.405.ply,dataset/16/right-13.12.28.352.ply,1.21,0.5793302022941257,-0.7471613387965979,1.3264915410907236,0.655458750381542,-0.6786932328257339,121,0.01,0.41312705978725084,0.5540681916777938,0.3154312294844834,0.6248791632752735,0.21982195852324463,219.82195852324463,0.0,False,5.738440139179618,41cm rolling 90pct corrected belly contour,ellipse_area=pi*top_width*corrected_right_depth/4,ok
20,proportional,rightview_full_body_endpoint_proportional_pca45_48_v1.0,top_width_right_depth_elliptical_slices_1cm_v1.0,dataset/20/top-13.27.56.530.ply,dataset/20/right-13.27.56.550.ply,1.36,0.7994270655370914,-0.5881738976777802,1.3876009632148716,0.8038799241631173,-0.5840911412017469,136,0.01,0.46348294841402427,0.5092129548122835,0.3615687362061189,0.557552044501221,0.25289546295929444,252.89546295929443,0.0,False,0.2867473720694949,41cm rolling 90pct corrected belly contour,ellipse_area=pi*top_width*corrected_right_depth/4,ok
21,proportional,rightview_full_body_endpoint_proportional_pca45_48_v1.0,top_width_right_depth_elliptical_slices_1cm_v1.0,dataset/21/top-13.31.25.505.ply,dataset/21/right-13.31.25.534.ply,1.24,0.8424584206285494,-0.5883336187799657,1.430792039408515,0.8883707047937438,-0.5499429737319431,124,0.01,0.45483583202947103,0.5386328292673093,0.25375113083261036,0.6161034776534122,0.23943443749805207,239.43443749805206,0.04032258064516129,True,3.1398177948782213,41cm rolling 90pct corrected belly contour,ellipse_area=pi*top_width*corrected_right_depth/4,review_required
22,proportional,rightview_full_body_endpoint_proportional_pca45_48_v1.0,top_width_right_depth_elliptical_slices_1cm_v1.0,dataset/22/top-13.41.45.435.ply,dataset/22/right-13.41.45.457.ply,1.42,1.0718896280691985,-0.5656584817839343,1.6375481098531328,1.1751094343009463,-0.4602104025862206,142,0.01,0.4343802468026017,0.6094211593753165,0.3285256714208987,0.6980977348219077,0.2951805249955506,295.18052499555057,0.0,False,8.093969077331627,41cm rolling 90pct corrected belly contour,ellipse_area=pi*top_width*corrected_right_depth/4,ok
23,proportional,rightview_full_body_endpoint_proportional_pca45_48_v1.0,top_width_right_depth_elliptical_slices_1cm_v1.0,dataset/23/top-13.45.59.353.ply,dataset/23/right-13.45.59.323.ply,1.33,0.5431947229983658,-0.860759019921401,1.4039537429197668,0.5734300199556442,-0.8323649955538596,133,0.01,0.4608363499257518,0.5738595970741875,0.4633043455310182,0.6671848386314805,0.2787709566451795,278.77095664517947,0.0,False,2.137906960225816,41cm rolling 90pct corrected belly contour,ellipse_area=pi*top_width*corrected_right_depth/4,ok
