cow_id,source_top_ply,extracted_top_ply,rear_axis_x_m,rear_axis_y_m,head_axis_x_m,head_axis_y_m,pca_full_length_m,marker_ratio_from_rear,marker_distance_from_rear_m,marker_distance_to_head_m,marker_x_m,marker_y_m,display_orientation,method_version,preview_group_number,preview_group_file
1,dataset/1/top-12.09.07.765.ply,point_clouds/cow_001_top_cattle.ply,-0.486376,-0.303977,1.354996,-0.210753,1.8437303372673566,0.6,1.1062382023604138,0.7374921349069427,0.6184472000000001,-0.2480426,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,1,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_01_cows_001_023.png
2,dataset/2/top-12.15.22.142.ply,point_clouds/cow_002_top_cattle.ply,-0.555054,-0.353789,1.214365,-0.101444,1.7873224657531723,0.6,1.0723934794519034,0.714928986301269,0.5065974000000001,-0.20238199999999998,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,1,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_01_cows_001_023.png
4,dataset/4/top-12.24.08.106.ply,point_clouds/cow_004_top_cattle.ply,-0.213509,0.051017,1.512056,-0.010523,1.7266620227551772,0.6,1.0359972136531064,0.690664809102071,0.8218300000000001,0.014093000000000001,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,1,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_01_cows_001_023.png
6,dataset/6/top-12.31.11.495.ply,point_clouds/cow_006_top_cattle.ply,-0.406953,-0.087146,1.45005,0.175277,1.8754535379310255,0.6,1.1252721227586153,0.7501814151724102,0.7072488,0.07030779999999995,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,1,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_01_cows_001_023.png
13,dataset/13/top-12.59.51.546.ply,point_clouds/cow_013_top_cattle.ply,-0.341282,-0.391514,1.418298,-0.453078,1.7606566679781723,0.6,1.0563940007869033,0.704262667191269,0.7144659999999999,-0.42845239999999996,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,1,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_01_cows_001_023.png
16,dataset/16/top-13.12.28.405.ply,point_clouds/cow_016_top_cattle.ply,-0.147767,0.102313,1.541711,0.101851,1.6894780631686226,0.6,1.0136868379011734,0.6757912252674491,0.8659197999999999,0.1020358,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,1,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_01_cows_001_023.png
20,dataset/20/top-13.27.56.530.ply,point_clouds/cow_020_top_cattle.ply,-0.661809,0.144242,1.142407,-0.102412,1.820997960013135,0.6,1.092598776007881,0.728399184005254,0.4207206,-0.003750399999999987,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,1,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_01_cows_001_023.png
21,dataset/21/top-13.31.25.505.ply,point_clouds/cow_021_top_cattle.ply,-0.618353,-0.023718,1.185938,-0.222597,1.8152186836086721,0.6,1.0891312101652033,0.7260874734434689,0.4642216,-0.1430454,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,1,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_01_cows_001_023.png
22,dataset/22/top-13.41.45.435.ply,point_clouds/cow_022_top_cattle.ply,-0.768845,0.122188,1.03124,0.097177,1.8002587473321716,0.6,1.0801552483993029,0.7201034989328687,0.31120599999999987,0.10718140000000001,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,1,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_01_cows_001_023.png
23,dataset/23/top-13.45.59.353.ply,point_clouds/cow_023_top_cattle.ply,-0.357773,0.254446,1.401431,0.27312,1.759303109726121,0.6,1.0555818658356726,0.7037212438904484,0.6977494000000001,0.2656504,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,1,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_01_cows_001_023.png
24,dataset/24/top-13.49.32.005.ply,point_clouds/cow_024_top_cattle.ply,-0.676322,0.306908,1.170944,0.243461,1.8483552679517539,0.6,1.1090131607710523,0.7393421071807016,0.4320375999999998,0.2688398,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,2,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_02_cows_024_082.png
25,dataset/25/top-13.52.04.612.ply,point_clouds/cow_025_top_cattle.ply,-0.325817,-0.192407,1.439867,0.133106,1.7954383033189973,0.6,1.0772629819913984,0.718175321327599,0.7335934,0.002900800000000009,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,2,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_02_cows_024_082.png
26,dataset/26/top-13.56.26.514.ply,point_clouds/cow_026_top_cattle.ply,-0.577123,-0.23342,1.227891,-0.402444,1.8129105473718223,0.6,1.0877463284230933,0.725164218948729,0.5058853999999999,-0.3348344,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,2,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_02_cows_024_082.png
27,dataset/27/top-15.30.41.933.ply,point_clouds/cow_027_top_cattle.ply,-1.014312,-0.10314,0.732492,0.149951,1.765043701639424,0.6,1.0590262209836543,0.7060174806557696,0.03377039999999987,0.04871459999999998,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,2,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_02_cows_024_082.png
28,dataset/28/top-15.36.47.071.ply,point_clouds/cow_028_top_cattle.ply,-0.263133,-0.491132,1.427362,-0.109693,1.732994245733667,0.6,1.0397965474402,0.6931976982934668,0.7511639999999999,-0.2622686,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,2,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_02_cows_024_082.png
39,dataset/39/top-16.21.22.404.ply,point_clouds/cow_039_top_cattle.ply,-0.373061,-0.188896,1.415402,-0.079228,1.7918222491622882,0.6,1.075093349497373,0.7167288996649153,0.7000168000000001,-0.12309520000000002,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,2,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_02_cows_024_082.png
50,dataset/50/top-17.57.16.387.ply,point_clouds/cow_050_top_cattle.ply,-0.31553,-0.223781,1.464359,0.226804,1.8360369534805119,0.6,1.101622172088307,0.7344147813922048,0.7524033999999998,0.04657,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,2,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_02_cows_024_082.png
51,dataset/51/top-18.00.21.471.ply,point_clouds/cow_051_top_cattle.ply,-0.416913,-0.00153,1.412041,-0.135641,1.833864360970298,0.6,1.1003186165821788,0.7335457443881193,0.6804594,-0.0819966,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,2,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_02_cows_024_082.png
76,dataset/76/top-19.45.11.274.ply,point_clouds/cow_076_top_cattle.ply,-0.269779,-0.054054,1.446632,-0.079031,1.7165927214834624,0.6,1.0299556328900774,0.686637088593385,0.7600676,-0.0690402,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,2,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_02_cows_024_082.png
82,dataset/82/top-20.14.10.429.ply,point_clouds/cow_082_top_cattle.ply,-0.359781,0.091753,1.406836,0.133833,1.7671180920043235,0.6,1.0602708552025941,0.7068472368017295,0.7001892000000002,0.11700100000000001,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,2,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_02_cows_024_082.png
87,dataset/87/top-20.31.00.342.ply,point_clouds/cow_087_top_cattle.ply,-0.332458,-0.148835,1.452132,-0.271279,1.7887856219334948,0.6,1.073271373160097,0.715514248773398,0.7382960000000001,-0.2223014,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,3,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_03_cows_087_107.png
97,dataset/97/top-12.01.06.363.ply,point_clouds/cow_097_top_cattle.ply,-0.742898,-0.136393,0.932949,-0.102473,1.6761902439189296,0.6,1.0057141463513577,0.6704760975675719,0.2626102,-0.11604099999999999,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,3,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_03_cows_087_107.png
98,dataset/98/top-12.04.46.910.ply,point_clouds/cow_098_top_cattle.ply,-0.711199,-0.191019,1.05237,-0.435379,1.780417767649211,0.6,1.0682506605895266,0.7121671070596844,0.34694239999999976,-0.337635,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,3,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_03_cows_087_107.png
99,dataset/99/top-12.07.51.258.ply,point_clouds/cow_099_top_cattle.ply,-0.393508,0.229285,1.364641,0.069334,1.7654099321692964,0.6,1.0592459593015777,0.7061639728677186,0.6613813999999998,0.1333144,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,3,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_03_cows_087_107.png
100,dataset/100/top-12.13.31.354.ply,point_clouds/cow_100_top_cattle.ply,-0.411201,0.420829,1.364801,0.35269,1.7773086471755544,0.6,1.0663851883053326,0.7109234588702218,0.6544002,0.3799456,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,3,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_03_cows_087_107.png
102,dataset/102/top-12.19.51.759.ply,point_clouds/cow_102_top_cattle.ply,-0.66284,0.284038,1.115971,-0.024389,1.8053519845309947,0.6,1.0832111907185968,0.7221407938123979,0.4044466000000001,0.09898179999999998,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,3,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_03_cows_087_107.png
103,dataset/103/top-12.24.09.127.ply,point_clouds/cow_103_top_cattle.ply,-0.846334,-0.310981,1.024158,-0.5253,1.8827301866770503,0.6,1.1296381120062302,0.7530920746708202,0.27596120000000013,-0.4395724,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,3,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_03_cows_087_107.png
