cow_id,ground_truth_weight_kg,pca_rear70_torso_analysis_eligible,pca_rear70_torso_method_version,pca_rear70_torso_recorded_on,pca_rear70_torso_start_ratio_from_rear,pca_rear70_torso_end_ratio_from_rear,pca_rear70_torso_full_length_m,pca_rear70_torso_start_x_m,pca_rear70_torso_start_y_m,pca_rear70_torso_end_x_m,pca_rear70_torso_end_y_m,pca_rear70_torso_length_m,pca_rear70_torso_projection_grid_cell_size_m,pca_rear70_torso_projection_grid_cell_count,pca_rear70_torso_projected_area_m2,pca_rear70_torso_projection_mean_height_m,pca_rear70_torso_projection_median_height_m,pca_rear70_torso_projected_volume_m3,pca_rear70_torso_projected_volume_l,pca_rear70_torso_height_definition,pca_rear70_torso_cell_height_aggregation,pca_rear70_torso_region_definition,pca_rear70_torso_status,source_top_ply,extracted_top_ply
1,415.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.84373,-0.486376,-0.303977,0.802584,-0.23872,1.290611,0.01,6179,0.6179,1.118213,1.133692,0.690944,690.944,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/1/top-12.09.07.765.ply,point_clouds/cow_001_top_cattle.ply
2,407.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.787322,-0.555054,-0.353789,0.683539,-0.177147,1.251126,0.01,6228,0.6228,1.096846,1.109018,0.683116,683.116,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/2/top-12.15.22.142.ply,point_clouds/cow_002_top_cattle.ply
4,443.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.726662,-0.213509,0.051017,0.994387,0.007939,1.208663,0.01,6285,0.6285,1.106568,1.124759,0.695478,695.478,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/4/top-12.24.08.106.ply,point_clouds/cow_004_top_cattle.ply
6,441.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.875454,-0.406953,-0.087146,0.892949,0.09655,1.312817,0.01,6504,0.6504,1.113322,1.143495,0.724104,724.104,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/6/top-12.31.11.495.ply,point_clouds/cow_006_top_cattle.ply
13,410.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.760657,-0.341282,-0.391514,0.890424,-0.434609,1.23246,0.01,5968,0.5968,1.075205,1.089336,0.641682,641.682,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/13/top-12.59.51.546.ply,point_clouds/cow_013_top_cattle.ply
16,312.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.689478,-0.147767,0.102313,1.034868,0.10199,1.182635,0.01,5179,0.5179,1.000146,1.021528,0.517976,517.976,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/16/top-13.12.28.405.ply,point_clouds/cow_016_top_cattle.ply
20,441.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.820998,-0.661809,0.144242,0.601142,-0.028416,1.274699,0.01,6505,0.6505,1.105136,1.124977,0.718891,718.891,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/20/top-13.27.56.530.ply,point_clouds/cow_020_top_cattle.ply
21,373.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.815219,-0.618353,-0.023718,0.644651,-0.162933,1.270653,0.01,6041,0.6041,1.056665,1.071836,0.638331,638.331,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/21/top-13.31.25.505.ply,point_clouds/cow_021_top_cattle.ply
22,394.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.800259,-0.768845,0.122188,0.491214,0.10468,1.260181,0.01,6127,0.6127,1.106503,1.119441,0.677954,677.954,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/22/top-13.41.45.435.ply,point_clouds/cow_022_top_cattle.ply
23,439.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.759303,-0.357773,0.254446,0.87367,0.267518,1.231512,0.01,6257,0.6257,1.088306,1.114201,0.680953,680.953,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/23/top-13.45.59.353.ply,point_clouds/cow_023_top_cattle.ply
