cow_id,ground_truth_weight_kg,existing_definition,existing_torso_length_m,existing_projected_area_m2,existing_projected_volume_m3,new_definition,new_torso_length_m,new_projected_area_m2,new_projected_volume_m3,length_difference_new_minus_existing_m,area_difference_new_minus_existing_m2,volume_difference_new_minus_existing_m3
1,415.0,rear_first_below_45pct_to_head_first_below_48pct,1.3,0.6242,0.69744,pca_rear_endpoint_0pct_to_full_length_70pct,1.290611,0.6179,0.690944,-0.009389,-0.0063,-0.006496
2,407.0,rear_first_below_45pct_to_head_first_below_48pct,1.22,0.6163,0.675789,pca_rear_endpoint_0pct_to_full_length_70pct,1.251126,0.6228,0.683116,0.031126,0.0065,0.007327
4,443.0,rear_first_below_45pct_to_head_first_below_48pct,1.38,0.6863,0.756134,pca_rear_endpoint_0pct_to_full_length_70pct,1.208663,0.6285,0.695478,-0.171337,-0.0578,-0.060656
6,441.0,rear_first_below_45pct_to_head_first_below_48pct,1.45,0.6957,0.771737,pca_rear_endpoint_0pct_to_full_length_70pct,1.312817,0.6504,0.724104,-0.137183,-0.0453,-0.047633
13,410.0,rear_first_below_45pct_to_head_first_below_48pct,1.27,0.6117,0.656508,pca_rear_endpoint_0pct_to_full_length_70pct,1.23246,0.5968,0.641682,-0.03754,-0.0149,-0.014826
16,312.0,rear_first_below_45pct_to_head_first_below_48pct,1.21,0.5376,0.538523,pca_rear_endpoint_0pct_to_full_length_70pct,1.182635,0.5179,0.517976,-0.027365,-0.0197,-0.020547
20,441.0,rear_first_below_45pct_to_head_first_below_48pct,1.36,0.6784,0.748635,pca_rear_endpoint_0pct_to_full_length_70pct,1.274699,0.6505,0.718891,-0.085301,-0.0279,-0.029744
21,373.0,rear_first_below_45pct_to_head_first_below_48pct,1.24,0.6052,0.638683,pca_rear_endpoint_0pct_to_full_length_70pct,1.270653,0.6041,0.638331,0.030653,-0.0011,-0.000352
22,394.0,rear_first_below_45pct_to_head_first_below_48pct,1.42,0.6668,0.730699,pca_rear_endpoint_0pct_to_full_length_70pct,1.260181,0.6127,0.677954,-0.159819,-0.0541,-0.052745
23,439.0,rear_first_below_45pct_to_head_first_below_48pct,1.33,0.662,0.718992,pca_rear_endpoint_0pct_to_full_length_70pct,1.231512,0.6257,0.680953,-0.098488,-0.0363,-0.038039
24,441.0,rear_first_below_45pct_to_head_first_below_48pct,1.35,0.6612,0.709257,pca_rear_endpoint_0pct_to_full_length_70pct,1.293849,0.6417,0.689442,-0.056151,-0.0195,-0.019815
25,434.0,rear_first_below_45pct_to_head_first_below_48pct,1.33,0.6268,0.678916,pca_rear_endpoint_0pct_to_full_length_70pct,1.256807,0.6056,0.656424,-0.073193,-0.0212,-0.022492
26,414.0,rear_first_below_45pct_to_head_first_below_48pct,1.32,0.6266,0.685415,pca_rear_endpoint_0pct_to_full_length_70pct,1.269037,0.6058,0.663834,-0.050963,-0.0208,-0.021581
27,400.0,rear_first_below_45pct_to_head_first_below_48pct,1.34,0.6829,0.793751,pca_rear_endpoint_0pct_to_full_length_70pct,1.235531,0.6354,0.744348,-0.104469,-0.0475,-0.049403
28,464.0,rear_first_below_45pct_to_head_first_below_48pct,1.28,0.6436,0.73542,pca_rear_endpoint_0pct_to_full_length_70pct,1.213096,0.6155,0.705428,-0.066904,-0.0281,-0.029992
39,437.0,rear_first_below_45pct_to_head_first_below_48pct,1.43,0.7172,0.783521,pca_rear_endpoint_0pct_to_full_length_70pct,1.254276,0.6507,0.716726,-0.175724,-0.0665,-0.066795
50,410.0,rear_first_below_45pct_to_head_first_below_48pct,1.33,0.6929,0.7651,pca_rear_endpoint_0pct_to_full_length_70pct,1.285226,0.6796,0.75049,-0.044774,-0.0133,-0.01461
51,431.0,rear_first_below_45pct_to_head_first_below_48pct,1.35,0.681,0.765025,pca_rear_endpoint_0pct_to_full_length_70pct,1.283705,0.6597,0.741689,-0.066295,-0.0213,-0.023336
76,463.0,rear_first_below_45pct_to_head_first_below_48pct,1.34,0.7315,0.819721,pca_rear_endpoint_0pct_to_full_length_70pct,1.201615,0.6738,0.758579,-0.138385,-0.0577,-0.061142
82,445.0,rear_first_below_45pct_to_head_first_below_48pct,1.36,0.6853,0.758909,pca_rear_endpoint_0pct_to_full_length_70pct,1.236983,0.6389,0.710603,-0.123017,-0.0464,-0.048306
87,451.0,rear_first_below_45pct_to_head_first_below_48pct,1.32,0.6616,0.739068,pca_rear_endpoint_0pct_to_full_length_70pct,1.25215,0.636,0.71135,-0.06785,-0.0256,-0.027718
97,462.0,rear_first_below_45pct_to_head_first_below_48pct,1.24,0.6072,0.587166,pca_rear_endpoint_0pct_to_full_length_70pct,1.173333,0.5838,0.565911,-0.066667,-0.0234,-0.021255
98,346.0,rear_first_below_45pct_to_head_first_below_48pct,1.35,0.6554,0.681667,pca_rear_endpoint_0pct_to_full_length_70pct,1.246292,0.6141,0.642934,-0.103708,-0.0413,-0.038733
99,407.0,rear_first_below_45pct_to_head_first_below_48pct,1.24,0.5862,0.642215,pca_rear_endpoint_0pct_to_full_length_70pct,1.235787,0.5801,0.636625,-0.004213,-0.0061,-0.00559
100,366.0,rear_first_below_45pct_to_head_first_below_48pct,1.29,0.6057,0.637451,pca_rear_endpoint_0pct_to_full_length_70pct,1.244116,0.587,0.618997,-0.045884,-0.0187,-0.018454
102,378.0,rear_first_below_45pct_to_head_first_below_48pct,1.22,0.6074,0.64947,pca_rear_endpoint_0pct_to_full_length_70pct,1.263746,0.6173,0.660124,0.043746,0.0099,0.010654
103,382.0,rear_first_below_45pct_to_head_first_below_48pct,1.35,0.6555,0.731342,pca_rear_endpoint_0pct_to_full_length_70pct,1.317911,0.6393,0.713691,-0.032089,-0.0162,-0.017651
104,408.0,rear_first_below_45pct_to_head_first_below_48pct,1.18,0.5606,0.544328,pca_rear_endpoint_0pct_to_full_length_70pct,1.129195,0.5424,0.52714,-0.050805,-0.0182,-0.017188
105,323.0,rear_first_below_45pct_to_head_first_below_48pct,1.16,0.4955,0.488731,pca_rear_endpoint_0pct_to_full_length_70pct,1.123862,0.4841,0.477613,-0.036138,-0.0114,-0.011118
107,409.0,rear_first_below_45pct_to_head_first_below_48pct,1.16,0.5549,0.552678,pca_rear_endpoint_0pct_to_full_length_70pct,1.19447,0.5584,0.557283,0.03447,0.0035,0.004605
110,417.0,rear_first_below_45pct_to_head_first_below_48pct,1.09,0.4623,0.448282,pca_rear_endpoint_0pct_to_full_length_70pct,1.151156,0.4718,0.457885,0.061156,0.0095,0.009603
111,243.0,rear_first_below_45pct_to_head_first_below_48pct,1.29,0.6408,0.70851,pca_rear_endpoint_0pct_to_full_length_70pct,1.270703,0.6348,0.702111,-0.019297,-0.006,-0.006399
112,399.0,rear_first_below_45pct_to_head_first_below_48pct,1.55,0.7739,0.882523,pca_rear_endpoint_0pct_to_full_length_70pct,1.31429,0.6931,0.796409,-0.23571,-0.0808,-0.086114
114,605.0,rear_first_below_45pct_to_head_first_below_48pct,1.38,0.7141,0.814009,pca_rear_endpoint_0pct_to_full_length_70pct,1.300186,0.683,0.780944,-0.079814,-0.0311,-0.033065
117,399.0,rear_first_below_45pct_to_head_first_below_48pct,1.38,0.7146,0.814149,pca_rear_endpoint_0pct_to_full_length_70pct,1.32198,0.6912,0.789428,-0.05802,-0.0234,-0.024721
