torso_definition,torso_definition_label_zh,feature_group,feature_group_label_zh,model,model_label_zh,predictor_count,in_sample_r,in_sample_r_squared,in_sample_rmse_kg,validation_method,validation_r,validation_r_squared,validation_rmse_kg,validation_mae_kg,full_sample_alpha,outer_alpha_median,full_sample_pls_components,outer_pls_components_median,method_version
pca_4548,原45%/48%边界,base3,体积+面积+长度（3项）,ols,OLS,3,0.6553130085019274,0.4294351391118474,51.89713583979004,LOOCV OLS,0.588459023195957,0.3398257760843514,55.823898339542346,40.97952973165916,,,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,base3,体积+面积+长度（3项）,ridge,岭回归,3,0.6518005435444385,0.42450748412724526,52.120757566895705,Nested LOOCV Ridge,0.5904025115949952,0.34794840378651304,55.479413415623,41.0678941445422,2.5118864315095824,10.0,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,base3,体积+面积+长度（3项）,pls,PLS,3,0.6524157780995695,0.4256463475132667,52.06916018157495,Nested LOOCV PLS,0.5866717399453835,0.3413471426422059,55.75953836093207,40.68064532265634,,,2,1.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,ols,OLS,11,0.7248090017675678,0.5253480890432983,47.33457654498462,LOOCV OLS,0.5127811813855768,0.20685507545503756,61.18812625832548,46.9561552309797,,,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,ridge,岭回归,11,0.6815711922121023,0.44945119110397336,50.9787043106835,Nested LOOCV Ridge,0.5282617586403149,0.2776114424066958,58.39508683273183,45.18641117936507,39.81071705534978,39.81071705534978,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,pls,PLS,11,0.6007057776223582,0.36084743126888197,54.92791939455396,Nested LOOCV PLS,0.47197599733601503,0.19228534643063244,61.747568471886545,47.61725662516901,,,1,1.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,ols,OLS,11,0.6369993241498545,0.4057681389673714,52.96254503474972,LOOCV OLS,0.3557334187080405,-0.008229359064161335,68.98752258873354,52.14162100299524,,,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,ridge,岭回归,11,0.5632829132201586,0.31491835536702695,56.86722619531726,Nested LOOCV Ridge,0.4678805659574325,0.21674490711615235,60.80544807625136,47.61054491894695,25.11886431509582,39.81071705534978,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,pls,PLS,11,0.5631182366711406,0.31710214847161455,56.776517751507335,Nested LOOCV PLS,0.43870721864694157,0.18104558911037372,62.175708471331404,48.1130310252506,,,2,1.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,ols,OLS,22,0.796250725290124,0.6340152175250486,41.564484005459114,LOOCV OLS,0.389552217102013,-0.17958060686709953,74.6199049223076,59.605788292902176,,,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,ridge,岭回归,22,0.6528123861973305,0.413272942434013,52.627039257926484,Nested LOOCV Ridge,0.5316530210702578,0.28231006217804,58.204867927099386,45.21034934561254,100.0,158.48931924611142,,,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,pls,PLS,22,0.5980547812187744,0.35766952133863605,55.06430274863567,Nested LOOCV PLS,0.5477116276913312,0.29562523685163666,57.662407787976214,44.069628633628916,,,1,1.0,continuous_11_width_11_height_nested_loocv_v1.0
