torso_definition,torso_definition_label_zh,feature_group,feature_group_label_zh,feature,standardized_ridge_beta,full_sample_alpha,method_version
pca_4548,原45%/48%边界,base3,体积+面积+长度（3项）,投影体积,0.28027407647155894,2.5118864315095824,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,base3,体积+面积+长度（3项）,投影面积,0.4414460322759295,2.5118864315095824,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,base3,体积+面积+长度（3项）,躯干长度,-0.09351906965121175,2.5118864315095824,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,W1,-0.03903302006211466,39.81071705534978,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,W2,0.1418395086973378,39.81071705534978,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,W3,0.1505550821423773,39.81071705534978,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,W4,0.16249527574072284,39.81071705534978,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,W5,-0.023194606589940107,39.81071705534978,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,W6,-0.02198822569094982,39.81071705534978,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,W7,-0.04024195841552358,39.81071705534978,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,W8,0.06548257938919122,39.81071705534978,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,W9,0.13651919620734904,39.81071705534978,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,W10,0.09043512541238445,39.81071705534978,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width11,W1–W11（11项体宽）,W11,0.02650727135295619,39.81071705534978,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,H1,0.14951509908919747,25.11886431509582,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,H2,0.11514354143216769,25.11886431509582,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,H3,0.10294680063152212,25.11886431509582,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,H4,0.06488322654528218,25.11886431509582,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,H5,0.029957658212785336,25.11886431509582,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,H6,-0.03268846980364327,25.11886431509582,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,H7,-0.03265457686042905,25.11886431509582,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,H8,0.003677041973537004,25.11886431509582,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,H9,0.04018738217114387,25.11886431509582,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,H10,0.056342071189967556,25.11886431509582,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height11,H1–H11（11项高度）,H11,0.05073057407709402,25.11886431509582,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,W1,-0.020939999391826176,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,W2,0.07637758261337016,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,W3,0.07860290840907927,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,W4,0.09817987837401146,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,W5,0.015338837132784926,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,W6,0.007610368976737215,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,W7,-0.006475645905721858,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,W8,0.030193063968108964,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,W9,0.06476376277762073,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,W10,0.04380099166038284,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,W11,0.0066612085549274435,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,H1,0.04230272231788042,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,H2,0.04000843467726381,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,H3,0.04245281249646487,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,H4,0.03264308312305428,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,H5,0.022737646423057617,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,H6,0.006483086663701717,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,H7,0.003573241353713039,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,H8,0.009751122663607842,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,H9,0.015521423696773484,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,H10,0.019581636020422396,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,profile22,W1–W11+H1–H11（22项）,H11,0.017504719930198625,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,投影体积,0.056484423803025395,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,投影面积,0.06550599138506306,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,躯干长度,0.06283701931605949,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,W1,-0.02008303971271616,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,W2,0.061224778824036964,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,W3,0.06382446853485471,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,W4,0.09326225996871282,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,W5,0.005363264973754828,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,W6,0.004142950105207012,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,W7,-0.0002698762870030391,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,W8,0.021750361838449028,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,W9,0.047887154521929605,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,W10,0.042470116591146745,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,W11,0.011435179437371412,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,H1,0.031649006050194835,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,H2,0.026539952874814726,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,H3,0.03186276260833528,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,H4,0.023895539018222944,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,H5,0.015958134299313066,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,H6,0.002523524289629388,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,H7,-0.00311048633414648,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,H8,0.0023842698328305975,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,H9,0.004633701114779416,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,H10,0.009965572284614284,100.0,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,full25,体积+面积+长度+W1–W11+H1–H11（25项）,H11,0.008909344925488581,100.0,continuous_11_width_11_height_nested_loocv_v1.0
