torso_definition,torso_definition_label_zh,feature_type,feature,station_index,station_ratio_within_torso,mean_station_ratio_full_pca,pearson_r,fisher_95ci_low,fisher_95ci_high,loocv_r,loocv_r_squared,loocv_rmse_kg,loocv_mae_kg,method_version
pca_4548,原45%/48%边界,width,W1,1,0.05,0.04453668852459016,0.22135637673453865,-0.032267481076345056,0.4481976172572349,0.082201938399994,-0.032215100062330526,69.80330461866403,56.205095446066125,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width,W2,2,0.14,0.11264301639344262,0.5903642905721259,0.3976584408107514,0.7331875080869201,0.5519529206115691,0.30209937674181286,57.39679898633836,43.813828589915516,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width,W3,3,0.23,0.18074940983606555,0.6213073014904097,0.43801419091353627,0.7550039377194154,0.5874422308221517,0.34326858622439627,55.67814718702519,43.36131271363747,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width,W4,4,0.32,0.24885588524590163,0.5515960020158523,0.3481277873197665,0.7054325311581193,0.5077157121659519,0.25601258233386326,59.26164121519444,47.305649918879695,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width,W5,5,0.41,0.31696222950819664,0.4005978760875091,0.16546491208260755,0.5926374104052565,0.33475204363127364,0.10756038962081094,64.9053204409027,52.19404987389816,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width,W6,6,0.5,0.38506859016393447,0.37314278641876814,0.1338997410680773,0.5712860628319074,0.29858638352065503,0.0838942658689088,65.76028400766576,50.06965295426289,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width,W7,7,0.59,0.45317506557377046,0.3196927697198566,0.07380978249885493,0.5289351241953889,0.20426609960193476,0.025886564599745365,67.81029693429605,50.93729442035188,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width,W8,8,0.68,0.5212814262295082,0.42290370866849797,0.1914696349185867,0.609787817316272,0.36159848790524046,0.12611768968068093,64.22695809289755,49.71125841791415,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width,W9,9,0.77,0.5893877704918031,0.588662581015573,0.3954604982493781,0.7319791246191102,0.5445663260377758,0.29318483737584067,57.76221093441175,45.11991752303602,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width,W10,10,0.86,0.6574942295081969,0.4250914539139632,0.19403778342696668,0.611460548801735,0.3279103785195947,0.09391786202428098,65.39953552816445,47.718540293362985,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,width,W11,11,0.95,0.7256005901639344,0.2418844188626705,-0.010585542027296778,0.4653631168702864,0.10348419497574551,-0.011048128142711278,69.08389161801755,54.84903945985175,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height,H1,1,0.05,0.04453668852459016,0.531132357032901,0.32243346998989936,0.6905894616012472,0.4854401258725301,0.23238109632171033,60.19545618774723,47.38888799929682,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height,H2,2,0.14,0.11264301639344262,0.5549974233272994,0.35242847647687797,0.7078867038484968,0.514053748302019,0.2618217543339054,59.029825658658545,45.9826479491226,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height,H3,3,0.23,0.18074940983606555,0.5495863114348409,0.345590793405542,0.7039807758474903,0.5042801163247318,0.2510093123282888,59.46057278623657,46.744126605187674,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height,H4,4,0.32,0.24885588524590163,0.528071855173685,0.31861693540422964,0.6883579546803644,0.4788661102697554,0.22560768824398847,60.460452850200035,47.83937005724767,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height,H5,5,0.41,0.31696222950819664,0.5054778024242995,0.2906500727991156,0.6717895174373388,0.45360340098288227,0.20185179746427528,61.380814830427454,48.46698139646412,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height,H6,6,0.5,0.38506859016393447,0.46575600791583704,0.24235662674802766,0.6422520238540541,0.4067115594585905,0.16036018312005806,62.95603846508192,49.807683816892364,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height,H7,7,0.59,0.45317506557377046,0.45858074025551127,0.23374946841211644,0.6368599393461625,0.3998339039127715,0.15477826546476092,63.16495739514405,49.99025013412057,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height,H8,8,0.68,0.5212814262295082,0.45937563444002116,0.23470125856547713,0.6374581482851338,0.40216186144468397,0.15674608748066698,63.09138508890851,50.19457705074495,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height,H9,9,0.77,0.5893877704918031,0.4727883406398207,0.2508265867399552,0.6475197993070128,0.41976060644066704,0.1717209815259596,62.52867263315319,49.593419530561334,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height,H10,10,0.86,0.6574942295081969,0.48061354463190764,0.26029162448990745,0.6533619345346924,0.42869082145736687,0.17957577807881597,62.23147810511874,48.434702485792556,continuous_11_width_11_height_nested_loocv_v1.0
pca_4548,原45%/48%边界,height,H11,11,0.95,0.7256005901639344,0.45338515074879326,0.2275389695213471,0.6329446304391637,0.39857490644497245,0.15483196592986925,63.162950796561354,49.185621161217966,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,width,W1,1,0.05,0.03500000000000001,0.42773275955625906,0.19714258272567473,0.6134778516446663,0.3644663782213054,0.12901407683199229,64.12043314624746,48.431923389707386,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,width,W2,2,0.14,0.09799999999999998,0.5722218107135597,0.37433881035755984,0.7202579182291218,0.5343749791030947,0.28325121298174305,58.16669160186876,43.89291849644497,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,width,W3,3,0.23,0.16099999999999998,0.6253634726098674,0.4433595726740323,0.757841972906249,0.5863816834985506,0.34057430272245515,55.79224190352981,42.43598455862014,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,width,W4,4,0.32,0.22400000000000003,0.591064529367147,0.3985635179381064,0.7336844856559915,0.5563399863683679,0.30826892833028086,57.142537432798996,44.48561305785296,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,width,W5,5,0.41,0.2869999999999999,0.35665421656052515,0.11517327986652197,0.5583329825634995,0.2779506319600337,0.0711087911738425,66.21758013147918,52.18532065919775,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,width,W6,6,0.5,0.35000000000000014,0.40793019578913775,0.1739771990318007,0.5982943285301525,0.35058883199253604,0.11992553819506013,64.45410597290945,50.0098583925654,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,width,W7,7,0.59,0.413,0.4668155718632925,0.24363062329386725,0.6430467895810352,0.4228123594592161,0.1764856603249486,62.3485650060647,47.52570193728931,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,width,W8,8,0.68,0.4759999999999999,0.5011377391291962,0.2853196530907743,0.6685877393713805,0.4590099974930316,0.20796024971154636,61.145481394146856,46.431648774665355,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,width,W9,9,0.77,0.5390000000000001,0.6285838455247129,0.44761274585469674,0.7600916494269571,0.5851203421519605,0.3377848419646863,55.91012177451879,43.784283098943675,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,width,W10,10,0.86,0.6019999999999996,0.6107778747139622,0.4241983296725222,0.7476132208163765,0.5679262769445471,0.3194718879085028,56.67792139609055,45.20205747574355,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,width,W11,11,0.95,0.6649999999999999,0.6077990507202158,0.42030545670829283,0.7455161840876621,0.57249321252092,0.3262417867445866,56.39530056412658,43.332164646007925,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height,H1,1,0.05,0.03500000000000001,0.5435227002272233,0.3379542397757261,0.6995927262756508,0.5037588884639264,0.25151044603721007,59.44067755670654,46.29859437327584,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height,H2,2,0.14,0.09799999999999998,0.5643278628160592,0.3642697877781653,0.7145998468748671,0.5249518225791825,0.27320548261927124,58.572896465846355,45.44089933474373,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height,H3,3,0.23,0.16099999999999998,0.5595812035401532,0.35823768258747174,0.7111881358240904,0.5158003408217476,0.2629638186483356,58.98414431178664,46.4739317510756,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height,H4,4,0.32,0.22400000000000003,0.5391695156178288,0.33248845019438616,0.6964351840895452,0.49169077060407346,0.23820232345991477,59.96677611780152,47.59805704897052,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height,H5,5,0.41,0.2869999999999999,0.5191286279742298,0.3075032537913483,0.681819737712608,0.46893644433419684,0.2161111381979297,60.83004339079345,47.973309796317004,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height,H6,6,0.5,0.35000000000000014,0.48973396670095515,0.271377001916043,0.6601451860364042,0.4342078397840381,0.18396079224508155,62.06494747709658,49.06025340422132,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height,H7,7,0.59,0.413,0.4688922600117359,0.24612982386910295,0.6446033871846917,0.4102947683024285,0.16307850080888098,62.854046369558944,49.66960535856528,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height,H8,8,0.68,0.4759999999999999,0.46301728070932613,0.23906720647099092,0.6401959789205576,0.40552631382394466,0.15930239737417273,62.99568227308116,49.882013680845276,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height,H9,9,0.77,0.5390000000000001,0.4707171698836504,0.2483284686273424,0.6459700609038425,0.415015746784966,0.16709143634763768,62.703176595178626,49.39128037365448,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height,H10,10,0.86,0.6019999999999996,0.5021621000962095,0.2865765598005054,0.6693439973705738,0.4525656414362354,0.20071876630264418,61.42436671191944,47.6163238511534,continuous_11_width_11_height_nested_loocv_v1.0
pca_rear70,臀端0%至70%,height,H11,11,0.95,0.6649999999999999,0.5002151048292339,0.28418820163225855,0.6679062868099084,0.4495861287501841,0.19787044328863557,61.53371548562779,47.51064865807783,continuous_11_width_11_height_nested_loocv_v1.0
