torso_definition,torso_definition_label_zh,selected_width_count,model,station,outer_fold_selection_count,outer_fold_selection_rate,method_version
pca_4548,原45%/48%边界,1,ols,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ols,W2,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ols,W3,60,0.9836065573770492,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ols,W4,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ols,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ols,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ols,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ols,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ols,W9,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ols,W10,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ols,W11,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ridge,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ridge,W2,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ridge,W3,60,0.9836065573770492,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ridge,W4,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ridge,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ridge,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ridge,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ridge,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ridge,W9,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ridge,W10,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,ridge,W11,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,pls,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,pls,W2,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,pls,W3,60,0.9836065573770492,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,pls,W4,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,pls,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,pls,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,pls,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,pls,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,pls,W9,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,pls,W10,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,1,pls,W11,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ols,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ols,W2,41,0.6721311475409836,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ols,W3,61,1.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ols,W4,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ols,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ols,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ols,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ols,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ols,W9,20,0.32786885245901637,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ols,W10,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ols,W11,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ridge,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ridge,W2,41,0.6721311475409836,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ridge,W3,61,1.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ridge,W4,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ridge,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ridge,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ridge,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ridge,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ridge,W9,20,0.32786885245901637,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ridge,W10,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,ridge,W11,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,pls,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,pls,W2,41,0.6721311475409836,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,pls,W3,61,1.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,pls,W4,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,pls,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,pls,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,pls,W7,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,pls,W8,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,pls,W9,20,0.32786885245901637,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,pls,W10,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,2,pls,W11,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,3,ols,W1,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,3,ols,W2,60,0.9836065573770492,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,3,ols,W3,61,1.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,3,ols,W4,1,0.01639344262295082,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,3,ols,W5,0,0.0,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,3,ols,W6,0,0.0,local_width_plus_base_nested_selection_v1.0
