torso_definition,torso_definition_label_zh,feature_group,feature_group_label_zh,selection_method,model,model_label_zh,predictor_count,in_sample_r,in_sample_r_squared,in_sample_rmse_kg,validation_method,validation_r,validation_r_squared,validation_rmse_kg,validation_mae_kg,tuning_value,method_version
pca_4548,原45%/48%边界,base3,体积+面积+长度,predefined,ols,OLS,3,0.6553130085019274,0.4294351391118474,51.89713583979004,LOOCV OLS,0.588459023195957,0.3398257760843514,55.823898339542346,40.97952973165916,,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,base3,体积+面积+长度,predefined,ridge,岭回归,3,0.6518005435444385,0.42450748412724526,52.120757566895705,Nested LOOCV Ridge,0.5904025115949952,0.34794840378651304,55.479413415623,41.0678941445422,2.5118864315095824,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,base3,体积+面积+长度,predefined,pls,PLS,3,0.6524157780995695,0.4256463475132667,52.06916018157495,Nested LOOCV PLS,0.5866717399453835,0.3413471426422059,55.75953836093207,40.68064532265634,2,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,fixed_top1,基础3项+固定局部体宽W3,selected_on_full_sample,ols,OLS,4,0.6638622716741771,0.4407131157523989,51.381667790604006,LOOCV OLS,0.5821293549720902,0.3296097988960929,56.25416831581376,41.49515575044633,,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,fixed_top1,基础3项+固定局部体宽W3,selected_on_full_sample,ridge,岭回归,4,0.6594919907167911,0.429791717397903,51.88091657604962,Nested LOOCV Ridge,0.6097773561041097,0.3716789093215239,54.46050928765422,40.54297778470233,25.11886431509582,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,fixed_top1,基础3项+固定局部体宽W3,selected_on_full_sample,pls,PLS,4,0.6544668642011422,0.4283268763372764,51.947513776853384,Nested LOOCV PLS,0.6152476455769735,0.37536506073579656,54.30052342523816,39.404419689161436,1,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,fixed_top2,"基础3项+固定局部体宽W3,W2",selected_on_full_sample,ols,OLS,5,0.6640350509052996,0.44094254883080397,51.37112770483314,LOOCV OLS,0.5678728047919597,0.3102767700273805,57.05954524683844,42.290058666559794,,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,fixed_top2,"基础3项+固定局部体宽W3,W2",selected_on_full_sample,ridge,岭回归,5,0.6602753241613121,0.42832617469994294,51.9475456554763,Nested LOOCV Ridge,0.6096074331489295,0.37103330507218313,54.48848137836294,41.030385715330524,39.81071705534978,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,fixed_top2,"基础3项+固定局部体宽W3,W2",selected_on_full_sample,pls,PLS,5,0.6588078707578291,0.43402781057246465,51.68784493857088,Nested LOOCV PLS,0.6227471926990703,0.38538114537593726,53.86340683974189,39.60755036717253,1,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,fixed_top3,"基础3项+固定局部体宽W3,W2,W9",selected_on_full_sample,ols,OLS,6,0.6643115967441213,0.44130989756872396,51.35424731097236,LOOCV OLS,0.5482536119271938,0.2823545399712655,58.20306431800941,43.25753469554359,,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,fixed_top3,"基础3项+固定局部体宽W3,W2,W9",selected_on_full_sample,ridge,岭回归,6,0.6606136993449072,0.4306817757419591,51.84040938067112,Nested LOOCV Ridge,0.6020067021782187,0.36160604317477585,54.8953126686679,41.89543310727232,39.81071705534978,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,fixed_top3,"基础3项+固定局部体宽W3,W2,W9",selected_on_full_sample,pls,PLS,6,0.6590839368764316,0.4343916358485359,51.671228956417764,Nested LOOCV PLS,0.6212443143648932,0.3831945566189655,53.959134909976775,40.28334808322831,1,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,train_selected_top1,基础3项+训练集内选择1个局部体宽,selected_inside_each_validation_training_set,ols,OLS,4,0.6638622716741771,0.4407131157523989,51.381667790604006,LOOCV with training-only width selection,0.5709243493794918,0.31246382624205316,56.969007831663404,41.797366368296544,,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,train_selected_top1,基础3项+训练集内选择1个局部体宽,selected_inside_each_validation_training_set,ridge,岭回归,4,0.6594919907167911,0.429791717397903,51.88091657604962,Nested LOOCV Ridge with training-only width selection,0.6015915261995056,0.35982808709749714,54.97170248414068,41.233444894357255,25.11886431509582,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,train_selected_top1,基础3项+训练集内选择1个局部体宽,selected_inside_each_validation_training_set,pls,PLS,4,0.6544668642011422,0.4283268763372764,51.947513776853384,Nested LOOCV PLS with training-only width selection,0.608356220038462,0.3658519446320647,54.7124561985705,39.56993022241501,1,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,train_selected_top2,基础3项+训练集内选择2个局部体宽,selected_inside_each_validation_training_set,ols,OLS,5,0.6640350509052996,0.44094254883080397,51.37112770483314,LOOCV with training-only width selection,0.551022420468445,0.287377677732628,57.99901132833582,43.12705607034894,,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,train_selected_top2,基础3项+训练集内选择2个局部体宽,selected_inside_each_validation_training_set,ridge,岭回归,5,0.6602753241613121,0.42832617469994294,51.9475456554763,Nested LOOCV Ridge with training-only width selection,0.5820555639333855,0.33784337439591006,55.90765080444562,42.97701334732307,39.81071705534978,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,train_selected_top2,基础3项+训练集内选择2个局部体宽,selected_inside_each_validation_training_set,pls,PLS,5,0.6588078707578291,0.43402781057246465,51.68784493857088,Nested LOOCV PLS with training-only width selection,0.5903468904717941,0.3436139018607882,55.66350721209468,41.93307205614933,1,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,train_selected_top3,基础3项+训练集内选择3个局部体宽,selected_inside_each_validation_training_set,ols,OLS,6,0.6643115967441213,0.44130989756872396,51.35424731097236,LOOCV with training-only width selection,0.5343718188945517,0.2638142739214032,58.950104018461566,43.707350588813235,,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,train_selected_top3,基础3项+训练集内选择3个局部体宽,selected_inside_each_validation_training_set,ridge,岭回归,6,0.6606136993449072,0.4306817757419591,51.84040938067112,Nested LOOCV Ridge with training-only width selection,0.5935036256021122,0.35139883333273336,55.33242986177526,42.19789137571606,39.81071705534978,local_width_plus_base_nested_selection_v1.0
pca_4548,原45%/48%边界,train_selected_top3,基础3项+训练集内选择3个局部体宽,selected_inside_each_validation_training_set,pls,PLS,6,0.6590839368764316,0.4343916358485359,51.671228956417764,Nested LOOCV PLS with training-only width selection,0.6153330543651621,0.3755094352510079,54.2942477077707,40.5270495252247,1,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,base3,体积+面积+长度,predefined,ols,OLS,3,0.6452870080502722,0.4163953227584719,52.48682002762724,LOOCV OLS,0.5869373940335568,0.33912565118641913,55.853491546143296,41.81591627096681,,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,base3,体积+面积+长度,predefined,ridge,岭回归,3,0.6440991290948643,0.4145275089094447,52.57074438450117,Nested LOOCV Ridge,0.5913535399941673,0.3490645098984968,55.43191147504146,41.313618278288786,1.584893192461114,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,base3,体积+面积+长度,predefined,pls,PLS,3,0.6441340122580357,0.4149086257476352,52.55363097796144,Nested LOOCV PLS,0.6015255402919201,0.3588892009728045,55.01199889338197,41.14191453686789,2,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,fixed_top1,基础3项+固定局部体宽W9,selected_on_full_sample,ols,OLS,4,0.6650875907331789,0.44234150334726474,51.30681330780271,LOOCV OLS,0.5856864154833844,0.33273138670398206,56.12304526201148,43.296332368207885,,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,fixed_top1,基础3项+固定局部体宽W9,selected_on_full_sample,ridge,岭回归,4,0.6618772677287543,0.4345647260229073,51.66332201324259,Nested LOOCV Ridge,0.603383516225403,0.36384435830709827,54.79899212847349,42.39124843285921,15.848931924611142,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,fixed_top1,基础3项+固定局部体宽W9,selected_on_full_sample,pls,PLS,4,0.6642702182535924,0.4412549228586755,51.35677385958756,Nested LOOCV PLS,0.6068264875511659,0.3627633396482053,54.84553230227535,42.812999889169866,2,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,fixed_top2,"基础3项+固定局部体宽W9,W3",selected_on_full_sample,ols,OLS,5,0.6781557379497045,0.4598952049141082,50.49285132289837,LOOCV OLS,0.5744294948900679,0.3099687486296633,57.07228484897183,43.769422334685466,,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,fixed_top2,"基础3项+固定局部体宽W9,W3",selected_on_full_sample,ridge,岭回归,5,0.6718108852185968,0.4461083716925598,51.13323621080808,Nested LOOCV Ridge,0.5952315972162902,0.35274620563221937,55.27492754313372,41.815323021948984,25.11886431509582,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,fixed_top2,"基础3项+固定局部体宽W9,W3",selected_on_full_sample,pls,PLS,5,0.6548741130149104,0.42886010389706575,51.92328112787363,Nested LOOCV PLS,0.5918937602486949,0.3422267604463416,55.72229304388888,42.07019279048325,1,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,fixed_top3,"基础3项+固定局部体宽W9,W3,W10",selected_on_full_sample,ols,OLS,6,0.6784572180377133,0.46030419670747336,50.47372996628193,LOOCV OLS,0.5533763611447181,0.27908308703151097,58.335575488837534,44.88996584145592,,local_width_plus_base_nested_selection_v1.0
pca_rear70,臀端0%至70%,fixed_top3,"基础3项+固定局部体宽W9,W3,W10",selected_on_full_sample,ridge,岭回归,6,0.6691693005894158,0.4401323708687338,51.40833737594602,Nested LOOCV Ridge,0.5899841480416226,0.34608099766503486,55.55880017440452,42.546638374767774,39.81071705534978,local_width_plus_base_nested_selection_v1.0
