cow_id,ground_truth_weight_kg,torso_definition_code,torso_definition,torso_length_m,station_index,station_ratio_within_torso,station_ratio_full_pca,station_center_x_m,station_center_y_m,width_m,height_m,left_offset_m,right_offset_m,cross_section_point_count,height_point_count,height_station_method,method_version,status
1,415.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.3,1,0.05,0.04751,-0.398893,-0.299547,0.371279,1.126325,-0.201962,0.169317,140,26,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.3,2,0.14,0.110968,-0.282043,-0.293632,0.429954,1.163187,-0.246639,0.183315,173,26,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.3,3,0.23,0.174426,-0.165192,-0.287716,0.461042,1.187843,-0.258169,0.202873,184,22,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.3,4,0.32,0.237885,-0.048342,-0.2818,0.504292,1.188472,-0.252015,0.252277,218,22,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.3,5,0.41,0.301343,0.068508,-0.275884,0.564662,1.197185,-0.280408,0.284255,234,24,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.3,6,0.5,0.364801,0.185358,-0.269969,0.558674,1.198216,-0.275082,0.283592,233,22,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.3,7,0.59,0.428259,0.302209,-0.264053,0.50964,1.193598,-0.249186,0.260455,209,24,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.3,8,0.68,0.491718,0.419059,-0.258137,0.43355,1.194406,-0.212111,0.221439,168,20,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.3,9,0.77,0.555176,0.535909,-0.252221,0.37619,1.176795,-0.197503,0.178687,158,24,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.3,10,0.86,0.618634,0.65276,-0.246305,0.38326,1.151561,-0.2172,0.16606,140,22,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.3,11,0.95,0.682093,0.76961,-0.24039,0.326168,1.126147,-0.165043,0.161125,107,19,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.290611,1,0.05,0.035,-0.421928,-0.300714,0.346743,1.112439,-0.183812,0.162931,115,21,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.290611,2,0.14,0.098,-0.305922,-0.294841,0.431478,1.157116,-0.245621,0.185857,164,22,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.290611,3,0.23,0.161,-0.189915,-0.288968,0.466455,1.18329,-0.263433,0.203022,183,22,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.290611,4,0.32,0.224,-0.073909,-0.283095,0.491937,1.18686,-0.259459,0.232478,208,22,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.290611,5,0.41,0.287,0.042098,-0.277222,0.562031,1.1935,-0.281847,0.280184,232,22,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.290611,6,0.5,0.35,0.158104,-0.271348,0.575632,1.20024,-0.290667,0.284965,234,24,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.290611,7,0.59,0.413,0.27411,-0.265475,0.525626,1.19603,-0.257143,0.268484,211,23,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.290611,8,0.68,0.476,0.390117,-0.259602,0.460087,1.192155,-0.227684,0.232403,178,20,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.290611,9,0.77,0.539,0.506123,-0.253729,0.386108,1.178105,-0.194975,0.191133,147,20,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.290611,10,0.86,0.602,0.62213,-0.247856,0.388474,1.159062,-0.231466,0.157007,142,20,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
1,415.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.290611,11,0.95,0.665,0.738136,-0.241983,0.340626,1.130537,-0.179634,0.160992,120,21,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.22,1,0.05,0.056842,-0.454477,-0.339446,0.358916,1.173334,-0.168102,0.190815,131,17,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.22,2,0.14,0.118274,-0.345777,-0.323943,0.474758,1.177701,-0.226915,0.247843,170,20,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.22,3,0.23,0.179707,-0.237077,-0.308441,0.493816,1.181187,-0.236216,0.257601,213,23,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.22,4,0.32,0.24114,-0.128377,-0.292939,0.521771,1.175901,-0.261764,0.260007,215,21,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.22,5,0.41,0.302572,-0.019677,-0.277437,0.58336,1.175786,-0.320971,0.262389,237,21,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.22,6,0.5,0.364005,0.089023,-0.261935,0.577211,1.175007,-0.32487,0.252342,236,21,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.22,7,0.59,0.425438,0.197724,-0.246432,0.522116,1.159854,-0.299044,0.223072,204,19,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.22,8,0.68,0.48687,0.306424,-0.23093,0.453578,1.144867,-0.256742,0.196837,177,22,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.22,9,0.77,0.548303,0.415124,-0.215428,0.418498,1.118688,-0.20966,0.208838,162,19,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.22,10,0.86,0.609736,0.523824,-0.199926,0.424932,1.102543,-0.222172,0.20276,167,19,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_4548,rear_first_below_45pct_to_head_first_below_48pct,1.22,11,0.95,0.671168,0.632524,-0.184423,0.365773,1.071662,-0.224901,0.140873,121,19,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.251125,1,0.05,0.035,-0.493124,-0.344957,0.297059,1.170914,-0.129719,0.16734,111,15,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.251125,2,0.14,0.098,-0.381651,-0.329059,0.422419,1.17482,-0.183993,0.238426,164,19,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.251125,3,0.23,0.161,-0.270178,-0.313161,0.482216,1.185715,-0.229559,0.252657,198,20,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.251125,4,0.32,0.224,-0.158704,-0.297264,0.511003,1.176878,-0.259037,0.251966,217,22,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.251125,5,0.41,0.287,-0.047231,-0.281366,0.570163,1.177393,-0.314087,0.256075,229,21,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.251125,6,0.5,0.35,0.064242,-0.265468,0.581208,1.177073,-0.321525,0.259683,235,22,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
2,407.0,pca_rear70,pca_rear_endpoint_0pct_to_full_length_70pct,1.251125,7,0.59,0.413,0.175716,-0.24957,0.540155,1.161029,-0.309304,0.230851,212,20,median_in_1cm_longitudinal_by_5cm_center_patch,two_pca_torso_definitions_11_stations_width_height_v1.0,ok
