cow_id,ground_truth_weight_kg,pca_4548_width_01_m,pca_4548_height_01_m,pca_4548_width_02_m,pca_4548_height_02_m,pca_4548_width_03_m,pca_4548_height_03_m,pca_4548_width_04_m,pca_4548_height_04_m,pca_4548_width_05_m,pca_4548_height_05_m,pca_4548_width_06_m,pca_4548_height_06_m,pca_4548_width_07_m,pca_4548_height_07_m,pca_4548_width_08_m,pca_4548_height_08_m,pca_4548_width_09_m,pca_4548_height_09_m,pca_4548_width_10_m,pca_4548_height_10_m,pca_4548_width_11_m,pca_4548_height_11_m,pca_4548_mean_width_m,pca_4548_median_width_m,pca_4548_mean_height_m,pca_4548_median_height_m,pca_4548_status,pca_rear70_width_01_m,pca_rear70_height_01_m,pca_rear70_width_02_m,pca_rear70_height_02_m,pca_rear70_width_03_m,pca_rear70_height_03_m,pca_rear70_width_04_m,pca_rear70_height_04_m,pca_rear70_width_05_m,pca_rear70_height_05_m,pca_rear70_width_06_m,pca_rear70_height_06_m,pca_rear70_width_07_m,pca_rear70_height_07_m,pca_rear70_width_08_m,pca_rear70_height_08_m,pca_rear70_width_09_m,pca_rear70_height_09_m,pca_rear70_width_10_m,pca_rear70_height_10_m,pca_rear70_width_11_m,pca_rear70_height_11_m,pca_rear70_mean_width_m,pca_rear70_median_width_m,pca_rear70_mean_height_m,pca_rear70_median_height_m,pca_rear70_status,method_version,recorded_on
1,415.0,0.371279,1.126325,0.429954,1.163187,0.461042,1.187843,0.504292,1.188472,0.564662,1.197185,0.558674,1.198216,0.50964,1.193598,0.43355,1.194406,0.37619,1.176795,0.38326,1.151561,0.326168,1.126147,0.447156,0.43355,1.173067,1.187843,ok,0.346743,1.112439,0.431478,1.157116,0.466455,1.18329,0.491937,1.18686,0.562031,1.1935,0.575632,1.20024,0.525626,1.19603,0.460087,1.192155,0.386108,1.178105,0.388474,1.159062,0.340626,1.130537,0.452291,0.460087,1.171758,1.18329,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
2,407.0,0.358916,1.173334,0.474758,1.177701,0.493816,1.181187,0.521771,1.175901,0.58336,1.175786,0.577211,1.175007,0.522116,1.159854,0.453578,1.144867,0.418498,1.118688,0.424932,1.102543,0.365773,1.071662,0.472248,0.474758,1.150594,1.173334,ok,0.297059,1.170914,0.422419,1.17482,0.482216,1.185715,0.511003,1.176878,0.570163,1.177393,0.581208,1.177073,0.540155,1.161029,0.476483,1.148138,0.435656,1.124646,0.433841,1.104503,0.380232,1.077908,0.466403,0.476483,1.152638,1.170914,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
4,443.0,0.323749,1.188171,0.454461,1.203812,0.501064,1.205906,0.513736,1.19497,0.614572,1.182276,0.58398,1.172948,0.517009,1.156347,0.426735,1.151865,0.443351,1.137037,0.428277,1.119125,0.264551,1.09633,0.461044,0.454461,1.164435,1.172948,ok,0.330259,1.190121,0.453981,1.200222,0.49399,1.208899,0.51141,1.201911,0.558618,1.18601,0.599473,1.183092,0.582524,1.165358,0.498663,1.153523,0.426872,1.152461,0.447055,1.137535,0.431576,1.124306,0.484947,0.49399,1.17304,1.183092,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
6,441.0,0.171218,0.991654,0.41619,1.164823,0.459608,1.186429,0.474883,1.189695,0.540436,1.185189,0.566246,1.184945,0.51481,1.177021,0.487897,1.181703,0.404079,1.17023,0.423798,1.167014,0.366291,1.153539,0.438678,0.459608,1.159295,1.177021,ok,0.299911,1.026879,0.420483,1.169453,0.461734,1.188003,0.478388,1.190382,0.51916,1.184988,0.573472,1.184021,0.546681,1.178819,0.507109,1.178514,0.452864,1.17638,0.421046,1.169873,0.432397,1.165205,0.46484,0.461734,1.164774,1.178514,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
13,410.0,0.322122,1.160212,0.431383,1.157266,0.480474,1.164608,0.494622,1.153502,0.558245,1.138017,0.549875,1.142094,0.506078,1.127941,0.445543,1.122637,0.400578,1.103987,0.409249,1.090836,0.317478,1.064732,0.446877,0.445543,1.129621,1.138017,ok,0.306079,1.148513,0.414888,1.16189,0.472536,1.164588,0.494063,1.156832,0.532288,1.143858,0.556779,1.143418,0.534369,1.131795,0.477778,1.128433,0.405489,1.110687,0.446661,1.093743,0.374852,1.080881,0.45598,0.472536,1.133149,1.143418,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
16,312.0,0.34964,1.047952,0.416498,1.067536,0.414633,1.08555,0.432311,1.068469,0.506206,1.065732,0.528906,1.069145,0.473746,1.063897,0.43266,1.064111,0.355165,1.045998,0.34271,1.035068,0.335252,1.036057,0.417066,0.416498,1.059047,1.064111,ok,0.189125,1.004688,0.391006,1.066838,0.414619,1.080668,0.416203,1.077343,0.476772,1.0675,0.514765,1.070564,0.520067,1.068709,0.468422,1.064955,0.398054,1.063561,0.334133,1.049117,0.33718,1.037569,0.405486,0.414619,1.059228,1.066838,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
20,441.0,0.359663,1.154483,0.47865,1.171043,0.484015,1.176435,0.503438,1.160533,0.557609,1.166788,0.574057,1.172303,0.528909,1.182816,0.446989,1.183091,0.410679,1.168933,0.406529,1.163336,0.333147,1.119997,0.462153,0.47865,1.165433,1.168933,ok,0.383848,1.156466,0.482486,1.169872,0.471188,1.177456,0.504959,1.163137,0.545769,1.165537,0.576492,1.172757,0.557436,1.178621,0.488395,1.186438,0.42954,1.176004,0.40908,1.161889,0.379102,1.153322,0.4753,0.482486,1.169227,1.169872,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
21,373.0,0.362142,1.136415,0.445062,1.126641,0.446293,1.12283,0.485576,1.124723,0.56926,1.124406,0.578406,1.12361,0.51681,1.122804,0.456724,1.108731,0.423277,1.094656,0.406005,1.082538,0.357008,1.049503,0.458778,0.446293,1.110623,1.12283,ok,0.221905,1.133492,0.402794,1.130832,0.449751,1.143634,0.459545,1.126029,0.531683,1.122326,0.573048,1.127824,0.548681,1.12433,0.492166,1.120188,0.424706,1.097832,0.42225,1.081151,0.377731,1.061394,0.445842,0.449751,1.115366,1.12433,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
22,394.0,0.356239,1.207399,0.454639,1.206482,0.487232,1.193164,0.46666,1.174743,0.527476,1.163986,0.52088,1.153712,0.48418,1.153209,0.429825,1.128976,0.420235,1.112859,0.34494,1.089578,0.299636,1.039618,0.435631,0.454639,1.147611,1.153712,ok,0.321544,1.189603,0.446351,1.203933,0.487961,1.200227,0.460742,1.18192,0.506738,1.168397,0.535163,1.165323,0.509886,1.153747,0.470998,1.149413,0.437681,1.12902,0.417876,1.116565,0.374022,1.100853,0.451724,0.460742,1.159909,1.165323,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
23,439.0,0.355838,1.172132,0.455948,1.163416,0.48901,1.165138,0.495598,1.151933,0.566825,1.146527,0.558329,1.142481,0.529723,1.136845,0.444676,1.134332,0.414723,1.124017,0.452574,1.123807,0.341243,1.10383,0.464044,0.455948,1.142223,1.142481,ok,0.359533,1.1667,0.44702,1.169421,0.484737,1.164194,0.490095,1.153302,0.545452,1.149068,0.574013,1.146197,0.557359,1.137171,0.498941,1.136566,0.410702,1.126797,0.407968,1.124006,0.431789,1.12152,0.473419,0.484737,1.144995,1.146197,ok,two_pca_torso_definitions_11_stations_width_height_v1.0,2026-09-06
