torso_definition,torso_definition_label_zh,variable,投影体积,Topview投影面积,躯干长度,11点平均体宽,11点平均高度,体重
pca_4548,原45%/48%边界,投影体积,1.0,0.983851290218613,0.9099112439587181,0.7914683186229663,0.9019378969824126,0.6410385284419038
pca_4548,原45%/48%边界,Topview投影面积,0.983851290218613,0.9999999999999999,0.9284782370170935,0.7972199332064053,0.8159644075669742,0.6485416935808482
pca_4548,原45%/48%边界,躯干长度,0.9099112439587181,0.9284782370170935,1.0,0.5228759001089047,0.730493119014991,0.5675275258677207
pca_4548,原45%/48%边界,11点平均体宽,0.7914683186229663,0.7972199332064054,0.5228759001089047,1.0,0.7107912873631134,0.5604552607807171
pca_4548,原45%/48%边界,11点平均高度,0.9019378969824126,0.8159644075669742,0.7304931190149909,0.7107912873631135,1.0,0.5243945913520615
pca_4548,原45%/48%边界,体重,0.6410385284419039,0.6485416935808481,0.5675275258677207,0.560455260780717,0.5243945913520615,0.9999999999999998
pca_rear70,臀端0%至70%,投影体积,0.9999999999999999,0.9783790827728172,0.8643242221191263,0.9164263658816671,0.9252915211590464,0.6185492022279355
pca_rear70,臀端0%至70%,Topview投影面积,0.9783790827728172,1.0,0.8771200598985522,0.9368082585208335,0.8329458519969487,0.6225388290322741
pca_rear70,臀端0%至70%,躯干长度,0.8643242221191263,0.8771200598985524,1.0,0.6630644790019755,0.7387286427930381,0.46901691830025616
pca_rear70,臀端0%至70%,11点平均体宽,0.916426365881667,0.9368082585208336,0.6630644790019755,1.0,0.7932102350608596,0.6330045475887685
pca_rear70,臀端0%至70%,11点平均高度,0.9252915211590464,0.8329458519969487,0.7387286427930382,0.7932102350608596,1.0,0.5339758588572154
pca_rear70,臀端0%至70%,体重,0.6185492022279355,0.6225388290322741,0.46901691830025616,0.6330045475887685,0.5339758588572155,0.9999999999999998
