cow_id,ground_truth_weight_kg,pca_4548_projected_volume_m3,pca_4548_projected_volume_m3_loocv_prediction_kg,pca_4548_projected_area_m2,pca_4548_projected_area_m2_loocv_prediction_kg,pca_4548_torso_length_m,pca_4548_torso_length_m_loocv_prediction_kg,pca_4548_mean_width_11pt_m,pca_4548_mean_width_11pt_m_loocv_prediction_kg,pca_4548_mean_height_11pt_m,pca_4548_mean_height_11pt_m_loocv_prediction_kg,pca_4548_five_metric_ols_loocv_prediction_kg,pca_4548_five_metric_ols_loocv_residual_kg,pca_4548_five_metric_ridge_nested_loocv_prediction_kg,pca_4548_five_metric_ridge_nested_loocv_residual_kg,pca_4548_ridge_outer_alpha,pca_rear70_projected_volume_m3,pca_rear70_projected_volume_m3_loocv_prediction_kg,pca_rear70_projected_area_m2,pca_rear70_projected_area_m2_loocv_prediction_kg,pca_rear70_torso_length_m,pca_rear70_torso_length_m_loocv_prediction_kg,pca_rear70_mean_width_11pt_m,pca_rear70_mean_width_11pt_m_loocv_prediction_kg,pca_rear70_mean_height_11pt_m,pca_rear70_mean_height_11pt_m_loocv_prediction_kg,pca_rear70_five_metric_ols_loocv_prediction_kg,pca_rear70_five_metric_ols_loocv_residual_kg,pca_rear70_five_metric_ridge_nested_loocv_prediction_kg,pca_rear70_five_metric_ridge_nested_loocv_residual_kg,pca_rear70_ridge_outer_alpha,method_version
1,415.0,0.69744,424.08403682475694,0.6242,414.24912545822593,1.3,425.7384784743089,0.447156,420.11338141921215,1.173067,455.1199203769016,405.1020147872212,-9.897985212778792,421.8449079854147,6.844907985414693,25.11886431509582,0.690944,434.6214484779202,0.6179,427.20903907591315,1.290611,459.5021334849279,0.452291,414.8868839808017,1.171758,450.805569584912,410.11352503174896,-4.886474968251036,430.10964974612966,15.109649746129662,25.11886431509582,two_torso_five_metrics_loocv_v1.0
2,407.0,0.675789,416.43274621096845,0.6163,410.22872837690034,1.22,399.5024194284671,0.472248,458.3737845946989,1.150594,441.0459988202923,415.8181503550817,8.818150355081684,423.3801129069625,16.380112906962495,25.11886431509582,0.683116,431.47525018417656,0.6228,430.6447375133495,1.251126,438.23162552092015,0.466403,435.57170353164565,1.152638,439.02817973412135,429.37632852281286,22.376328522812855,434.5391296549963,27.539129654996316,25.11886431509582,two_torso_five_metrics_loocv_v1.0
4,443.0,0.756134,444.77441891703097,0.6863,446.8915187340464,1.38,451.2487084870848,0.461044,440.7103030708291,1.164435,449.17213385404625,437.63853517154456,-5.361464828455439,445.5090444708125,2.509044470812512,25.11886431509582,0.695478,436.0046105910272,0.6285,433.7146234024971,1.208663,413.7749758325775,0.484947,461.81917131295654,1.17304,451.14087701891395,446.00153008686505,3.0015300868650456,447.2094944456065,4.209494445606481,15.848931924611142,two_torso_five_metrics_loocv_v1.0
6,441.0,0.771737,450.4478932296612,0.6957,451.9341033895206,1.45,474.25157660706367,0.438678,405.92973725221367,1.159295,445.94461473960723,445.2183444314307,4.218344431430694,443.16327219103545,2.163272191035446,25.11886431509582,0.724104,448.20665098069423,0.6504,448.38670048596197,1.312817,471.2831351655501,0.46484,432.63561789827963,1.164774,445.99560762238224,434.4813666985723,-6.5186333014277125,442.1458907296262,1.1458907296262169,15.848931924611142,two_torso_five_metrics_loocv_v1.0
13,410.0,0.656508,409.2963315427467,0.6117,407.63991608737393,1.27,416.0526752268434,0.446877,419.830236508098,1.129621,427.7637956150953,403.78673168704,-6.213268312959997,412.3671487215966,2.3671487215966067,25.11886431509582,0.641682,413.7879298266345,0.5968,413.19015694312316,1.23246,428.09646013769856,0.45598,420.4183161094015,1.133149,426.8263816620148,408.4318516441568,-1.5681483558432205,418.09035045672044,8.090350456720444,15.848931924611142,two_torso_five_metrics_loocv_v1.0
16,312.0,0.538523,371.9943195984962,0.5376,373.39288594679357,1.21,401.06275647280563,0.417066,380.594506869121,1.059047,389.1617568866427,372.720351478122,60.720351478121984,377.7210822398816,65.72108223988158,25.11886431509582,0.517976,366.9818544466002,0.5179,366.22126695180845,1.182635,406.4233790237407,0.405486,352.5633191917776,1.059228,386.69498307032285,364.3816956740511,52.381695674051116,368.469927906636,56.469927906635974,25.11886431509582,two_torso_five_metrics_loocv_v1.0
20,441.0,0.748635,442.0968815657921,0.6784,442.7145428533257,1.36,444.7690870557309,0.462153,442.4355412239056,1.165433,449.83888212779624,435.54124537645777,-5.458754623542234,442.9994423993349,1.999442399334896,25.11886431509582,0.718891,445.9945605604278,0.6505,448.45338525071975,1.274699,450.3826510615237,0.4753,447.84166646469646,1.169227,448.7853848873186,441.77921231588,0.7792123158799882,447.93399149447816,6.933991494478164,25.11886431509582,two_torso_five_metrics_loocv_v1.0
21,373.0,0.638683,404.12707521552227,0.6052,405.4551522293234,1.24,407.60880404318164,0.458778,438.59484432732523,1.110623,416.94037212387036,406.97372386384575,33.97372386384575,413.4605384466302,40.46053844663021,25.11886431509582,0.638331,413.5254199642145,0.6041,419.12609343425845,1.270653,449.33507967612826,0.445842,406.8757254993332,1.115366,416.89157706484724,400.3163458918356,27.316345891835624,416.0530267318012,43.0530267318012,25.11886431509582,two_torso_five_metrics_loocv_v1.0
22,394.0,0.730699,436.4941152770497,0.6668,437.4020369165002,1.42,465.20364238410605,0.435631,403.12253222963596,1.147611,439.416824386802,424.90612609165686,30.90612609165686,433.6861691512469,39.68616915124687,25.11886431509582,0.677954,429.5782962366694,0.6127,424.2453107529347,1.260181,443.3424973450436,0.451724,414.67984430673994,1.159909,443.78004710044064,418.2625369156916,24.262536915691612,426.60719725127626,32.60719725127626,25.11886431509582,two_torso_five_metrics_loocv_v1.0
23,439.0,0.718992,431.3850728982343,0.662,433.9917037902948,1.33,435.0146592013328,0.464044,445.3473605981875,1.142223,435.1246553426158,431.254709711553,-7.745290288446995,435.8917213344094,-3.1082786655906034,25.11886431509582,0.680953,429.8812921219005,0.6257,431.91555240525275,1.231512,426.799759055938,0.473419,445.1472708078574,1.144995,433.6069018873089,438.29600070001203,-0.7039992999879701,436.469274954293,-2.5307250457070154,25.11886431509582,two_torso_five_metrics_loocv_v1.0
