torso_definition,torso_definition_label_zh,model,model_label_zh,predictor_count,raw_pearson_r,in_sample_r,in_sample_r_squared,in_sample_rmse_kg,validation_method,validation_r,validation_r_squared,validation_rmse_kg,validation_mae_kg,ridge_alpha,method_version
pca_4548,原45%/48%边界,projected_volume_m3,投影体积,1,0.6410385284419036,0.6410385284419037,0.4109303949469614,52.73199311146066,LOOCV OLS,0.6080051551794449,0.3679675891675619,54.62111411180025,40.53747463622876,,two_torso_five_metrics_loocv_v1.0
pca_4548,原45%/48%边界,projected_area_m2,Topview投影面积,1,0.6485416935808482,0.6485416935808483,0.42060632831271483,52.2971176131589,LOOCV OLS,0.6139672527055089,0.3750128805126888,54.31582906574967,39.6120069905264,,two_torso_five_metrics_loocv_v1.0
pca_4548,原45%/48%边界,torso_length_m,躯干长度,1,0.5675275258677207,0.5675275258677206,0.32208749261753633,56.56889595212548,LOOCV OLS,0.5257169516695525,0.27398063050636734,58.541653268401845,44.135486760031114,,two_torso_five_metrics_loocv_v1.0
pca_4548,原45%/48%边界,mean_width_11pt_m,11点平均体宽,1,0.560455260780717,0.5604552607807171,0.31411009933678136,56.90076214685907,LOOCV OLS,0.5234173940513541,0.2720246392794117,58.620459664308115,43.60379038001648,,two_torso_five_metrics_loocv_v1.0
pca_4548,原45%/48%边界,mean_height_11pt_m,11点平均高度,1,0.5243945913520615,0.5243945913520616,0.27498968743929575,58.50095710856861,LOOCV OLS,0.4755386279500339,0.2222384764830001,60.59183521185581,47.16488101356424,,two_torso_five_metrics_loocv_v1.0
pca_4548,原45%/48%边界,five_metric_ols,五指标OLS,5,,0.6651465893476357,0.4424199853207922,51.30320285295376,LOOCV OLS,0.5648302529979952,0.3022845742625919,57.389182966378314,42.619725697472695,,two_torso_five_metrics_loocv_v1.0
pca_4548,原45%/48%边界,five_metric_ridge,五指标岭回归,5,,0.6478707020158307,0.4157538920716677,52.51565582417611,Nested LOOCV Ridge,0.5883551368303099,0.34614217089898536,55.556201388500696,41.340209000238396,25.11886431509582,two_torso_five_metrics_loocv_v1.0
pca_rear70,臀端0%至70%,projected_volume_m3,投影体积,1,0.6185492022279355,0.6185492022279356,0.3826031155768155,53.98499881947278,LOOCV OLS,0.585413151835215,0.3409788776751719,55.7751242760729,42.101445127802386,,two_torso_five_metrics_loocv_v1.0
pca_rear70,臀端0%至70%,projected_area_m2,Topview投影面积,1,0.6225388290322741,0.6225388290322742,0.38755459365287526,53.76808515539998,LOOCV OLS,0.5889657487742926,0.3450491101813642,55.60261892810582,40.93156941760667,,two_torso_five_metrics_loocv_v1.0
pca_rear70,臀端0%至70%,torso_length_m,躯干长度,1,0.46901691830025594,0.46901691830025594,0.2199768696518689,60.679866973475605,LOOCV OLS,0.4197647355347304,0.17361595777472338,62.4571036349849,50.13448065108263,,two_torso_five_metrics_loocv_v1.0
pca_rear70,臀端0%至70%,mean_width_11pt_m,11点平均体宽,1,0.6330045475887683,0.6330045475887686,0.4006947572680616,53.18815404391685,LOOCV OLS,0.5961774327735075,0.3525607188454434,55.282847183270846,40.942559643986876,,two_torso_five_metrics_loocv_v1.0
pca_rear70,臀端0%至70%,mean_height_11pt_m,11点平均高度,1,0.5339758588572152,0.5339758588572152,0.2851302178423004,58.09039763135,LOOCV OLS,0.48628085861284615,0.232669863496074,60.18413279095749,46.92344136921019,,two_torso_five_metrics_loocv_v1.0
pca_rear70,臀端0%至70%,five_metric_ols,五指标OLS,5,,0.6502229533163885,0.42278988901948633,52.19847852668262,LOOCV OLS,0.5451828848989944,0.275559190650134,58.477976036771565,43.77428906434645,,two_torso_five_metrics_loocv_v1.0
pca_rear70,臀端0%至70%,five_metric_ridge,五指标岭回归,5,,0.6367532537012377,0.4031174463199013,53.08053872493479,Nested LOOCV Ridge,0.5741175825079595,0.3290347859583407,56.27828855302262,42.19321958381292,15.848931924611142,two_torso_five_metrics_loocv_v1.0
