cow_id,record_type,method_version,source_raw_centerline_method_version,orientation,image_coordinate_system,physical_coordinate_system,centerline_point_count,added_rear_extension_point_count,polyline_length_xy_m,direct_distance_xy_m,curvature_ratio_xy,rear_x_m,rear_y_m,head_x_m,head_y_m,maximum_pixel_mapping_distance_px,mean_pixel_mapping_distance_px,points_file,preview_image,status
1,rear_extended_curved_geometric_centerline,geometric_centerline_rear_extended_v1.0,qa_rendered_geometric_centerline_record_v1.0,rear_to_head,overlay_image_pixel_top_left_origin_x_right_y_down,camera_point_cloud_xyz_m,117,10,1.924302,1.817528,1.058747,-0.514952,-0.378624,1.302541,-0.389883,0.0,0.0,cattle_3d_extraction_66/skeleton_axis_comparison/extended_geometric_centerline_points.csv,cattle_3d_extraction_66/skeleton_axis_comparison/extended_preview/skeleton_individual/cow_001_extended_centerline.png,ok
2,rear_extended_curved_geometric_centerline,geometric_centerline_rear_extended_v1.0,qa_rendered_geometric_centerline_record_v1.0,rear_to_head,overlay_image_pixel_top_left_origin_x_right_y_down,camera_point_cloud_xyz_m,118,20,1.851962,1.759089,1.052796,-0.594391,-0.330861,1.161001,-0.216875,0.916,0.008,cattle_3d_extraction_66/skeleton_axis_comparison/extended_geometric_centerline_points.csv,cattle_3d_extraction_66/skeleton_axis_comparison/extended_preview/skeleton_individual/cow_002_extended_centerline.png,ok
4,rear_extended_curved_geometric_centerline,geometric_centerline_rear_extended_v1.0,qa_rendered_geometric_centerline_record_v1.0,rear_to_head,overlay_image_pixel_top_left_origin_x_right_y_down,camera_point_cloud_xyz_m,100,5,1.75766,1.705821,1.03039,-0.247551,0.124307,1.458162,0.105137,1.177,0.02,cattle_3d_extraction_66/skeleton_axis_comparison/extended_geometric_centerline_points.csv,cattle_3d_extraction_66/skeleton_axis_comparison/extended_preview/skeleton_individual/cow_004_extended_centerline.png,ok
5,rear_extended_curved_geometric_centerline,geometric_centerline_rear_extended_v1.0,qa_rendered_geometric_centerline_record_v1.0,rear_to_head,overlay_image_pixel_top_left_origin_x_right_y_down,camera_point_cloud_xyz_m,106,6,1.674779,1.62502,1.03062,-0.282578,0.032221,1.308738,-0.297028,1.051,0.01,cattle_3d_extraction_66/skeleton_axis_comparison/extended_geometric_centerline_points.csv,cattle_3d_extraction_66/skeleton_axis_comparison/extended_preview/skeleton_individual/cow_005_extended_centerline.png,ok
6,rear_extended_curved_geometric_centerline,geometric_centerline_rear_extended_v1.0,qa_rendered_geometric_centerline_record_v1.0,rear_to_head,overlay_image_pixel_top_left_origin_x_right_y_down,camera_point_cloud_xyz_m,106,0,1.828096,1.77788,1.028245,-0.388776,-0.075447,1.358526,0.252874,1.0,0.009,cattle_3d_extraction_66/skeleton_axis_comparison/extended_geometric_centerline_points.csv,cattle_3d_extraction_66/skeleton_axis_comparison/extended_preview/skeleton_individual/cow_006_extended_centerline.png,ok
13,rear_extended_curved_geometric_centerline,geometric_centerline_rear_extended_v1.0,qa_rendered_geometric_centerline_record_v1.0,rear_to_head,overlay_image_pixel_top_left_origin_x_right_y_down,camera_point_cloud_xyz_m,113,22,1.722631,1.614988,1.066653,-0.380564,-0.424807,1.230368,-0.539193,0.0,0.0,cattle_3d_extraction_66/skeleton_axis_comparison/extended_geometric_centerline_points.csv,cattle_3d_extraction_66/skeleton_axis_comparison/extended_preview/skeleton_individual/cow_013_extended_centerline.png,ok
16,rear_extended_curved_geometric_centerline,geometric_centerline_rear_extended_v1.0,qa_rendered_geometric_centerline_record_v1.0,rear_to_head,overlay_image_pixel_top_left_origin_x_right_y_down,camera_point_cloud_xyz_m,90,6,1.609501,1.578465,1.019662,-0.102506,0.054749,1.471971,0.166889,0.558,0.006,cattle_3d_extraction_66/skeleton_axis_comparison/extended_geometric_centerline_points.csv,cattle_3d_extraction_66/skeleton_axis_comparison/extended_preview/skeleton_individual/cow_016_extended_centerline.png,ok
19,rear_extended_curved_geometric_centerline,geometric_centerline_rear_extended_v1.0,qa_rendered_geometric_centerline_record_v1.0,rear_to_head,overlay_image_pixel_top_left_origin_x_right_y_down,camera_point_cloud_xyz_m,90,20,1.410749,1.342358,1.050948,-0.044884,-0.10559,1.296047,-0.167478,0.663,0.007,cattle_3d_extraction_66/skeleton_axis_comparison/extended_geometric_centerline_points.csv,cattle_3d_extraction_66/skeleton_axis_comparison/extended_preview/skeleton_individual/cow_019_extended_centerline.png,ok
20,rear_extended_curved_geometric_centerline,geometric_centerline_rear_extended_v1.0,qa_rendered_geometric_centerline_record_v1.0,rear_to_head,overlay_image_pixel_top_left_origin_x_right_y_down,camera_point_cloud_xyz_m,115,6,1.844665,1.701337,1.084244,-0.683227,0.208744,0.966444,-0.207349,0.0,0.0,cattle_3d_extraction_66/skeleton_axis_comparison/extended_geometric_centerline_points.csv,cattle_3d_extraction_66/skeleton_axis_comparison/extended_preview/skeleton_individual/cow_020_extended_centerline.png,ok
21,rear_extended_curved_geometric_centerline,geometric_centerline_rear_extended_v1.0,qa_rendered_geometric_centerline_record_v1.0,rear_to_head,overlay_image_pixel_top_left_origin_x_right_y_down,camera_point_cloud_xyz_m,110,3,1.845141,1.680915,1.097701,-0.659637,-0.034268,0.989379,-0.360184,0.0,0.0,cattle_3d_extraction_66/skeleton_axis_comparison/extended_geometric_centerline_points.csv,cattle_3d_extraction_66/skeleton_axis_comparison/extended_preview/skeleton_individual/cow_021_extended_centerline.png,ok
