cow_id,ground_truth_weight_kg,old_pca_projected_volume_m3,old_pca_volume_field,new_geometric_projected_volume_m3,new_geometric_projected_volume_l,difference_new_minus_pca_m3,absolute_difference_m3,difference_vs_pca_percent,absolute_difference_vs_pca_percent,projected_area_m2,projection_grid_cell_size_m,projection_grid_cell_area_m2,projection_grid_cell_count,mean_cell_height_m,median_cell_height_m,minimum_cell_height_m,maximum_cell_height_m,valid_core_point_count,height_definition,cell_height_aggregation,core_ply,method_version,status
1,415.0,0.624194,torso_projected_volume_m3,0.661123,661.123,0.036929,0.036929,5.9163,5.9163,0.5906,0.01,0.0001,5906,1.11941,1.135965,0.758413,1.205858,21804,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,cattle_3d_extraction_66/extended_geometric_core_torso_point_clouds/cow_001_core_torso.ply,extended_geometric_core_torso_1cm_column_sum_v1.0,ok
2,407.0,0.616333,torso_projected_volume_m3,0.648531,648.531,0.032198,0.032198,5.2241,5.2241,0.5917,0.01,0.0001,5917,1.096046,1.108977,0.672082,1.189802,21637,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,cattle_3d_extraction_66/extended_geometric_core_torso_point_clouds/cow_002_core_torso.ply,extended_geometric_core_torso_1cm_column_sum_v1.0,ok
4,443.0,0.663719,torso_projected_volume_m3,0.702377,702.377,0.038658,0.038658,5.8244,5.8244,0.6355,0.01,0.0001,6355,1.105235,1.120534,0.794252,1.215127,22251,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,cattle_3d_extraction_66/extended_geometric_core_torso_point_clouds/cow_004_core_torso.ply,extended_geometric_core_torso_1cm_column_sum_v1.0,ok
5,410.0,0.660843,torso_projected_volume_m3,0.696003,696.003,0.03516,0.03516,5.3204,5.3204,0.6052,0.01,0.0001,6052,1.150038,1.167895,0.896037,1.23749,22244,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,cattle_3d_extraction_66/extended_geometric_core_torso_point_clouds/cow_005_core_torso.ply,extended_geometric_core_torso_1cm_column_sum_v1.0,ok
6,441.0,0.707135,torso_projected_volume_m3,0.748753,748.753,0.041618,0.041618,5.8854,5.8854,0.6682,0.01,0.0001,6682,1.120552,1.143476,0.764605,1.213013,23637,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,cattle_3d_extraction_66/extended_geometric_core_torso_point_clouds/cow_006_core_torso.ply,extended_geometric_core_torso_1cm_column_sum_v1.0,ok
13,410.0,0.572926,torso_projected_volume_m3,0.609301,609.301,0.036375,0.036375,6.3491,6.3491,0.5667,0.01,0.0001,5667,1.075175,1.090307,0.742457,1.183323,21049,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,cattle_3d_extraction_66/extended_geometric_core_torso_point_clouds/cow_013_core_torso.ply,extended_geometric_core_torso_1cm_column_sum_v1.0,ok
16,312.0,0.506671,torso_projected_volume_m3,0.520863,520.863,0.014192,0.014192,2.801,2.801,0.5179,0.01,0.0001,5179,1.005721,1.021987,0.728198,1.107516,16541,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,cattle_3d_extraction_66/extended_geometric_core_torso_point_clouds/cow_016_core_torso.ply,extended_geometric_core_torso_1cm_column_sum_v1.0,ok
19,378.0,0.629327,torso_projected_volume_m3,0.6126,612.6,-0.016727,0.016727,-2.6579,2.6579,0.5439,0.01,0.0001,5439,1.12631,1.142638,0.702447,1.237313,19699,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,cattle_3d_extraction_66/extended_geometric_core_torso_point_clouds/cow_019_core_torso.ply,extended_geometric_core_torso_1cm_column_sum_v1.0,ok
20,441.0,0.677687,torso_projected_volume_m3,0.708381,708.381,0.030694,0.030694,4.5292,4.5292,0.6411,0.01,0.0001,6411,1.104946,1.125395,0.729594,1.189973,22119,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,cattle_3d_extraction_66/extended_geometric_core_torso_point_clouds/cow_020_core_torso.ply,extended_geometric_core_torso_1cm_column_sum_v1.0,ok
21,373.0,0.587704,torso_projected_volume_m3,0.62272,622.72,0.035016,0.035016,5.9582,5.9582,0.5903,0.01,0.0001,5903,1.054922,1.069681,0.691216,1.151817,19745,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,cattle_3d_extraction_66/extended_geometric_core_torso_point_clouds/cow_021_core_torso.ply,extended_geometric_core_torso_1cm_column_sum_v1.0,ok
