cow_id,station_index,station_from_rear_m,center_x_m,center_y_m,tangent_x,tangent_y,raw_width_m,smoothed_width_m,left_offset_m,right_offset_m,cross_section_point_count,is_maximum_width_station,is_in_max_width_search_region,method_version
1,0,0.0,-0.509115,-0.377236,0.9752373,0.22116104,0.063912,0.070393,-0.020273,0.043639,17,False,False,extended_geometric_local_cross_section_width_v1.0
1,1,0.01,-0.503283,-0.375824,0.97283639,0.23149374,0.076875,0.076875,-0.025011,0.051864,25,False,False,extended_geometric_local_cross_section_width_v1.0
1,2,0.02,-0.495471,-0.374141,0.97148639,0.23709531,0.096582,0.096582,-0.038622,0.05796,41,False,False,extended_geometric_local_cross_section_width_v1.0
1,3,0.03,-0.48583,-0.371695,0.971671,0.23633762,0.099773,0.099773,-0.036693,0.06308,42,False,False,extended_geometric_local_cross_section_width_v1.0
1,4,0.04,-0.476223,-0.369208,0.97223251,0.23401697,0.10568,0.10568,-0.042527,0.063153,45,False,False,extended_geometric_local_cross_section_width_v1.0
1,5,0.05,-0.466581,-0.366897,0.97462127,0.22386016,0.119871,0.119871,-0.043001,0.076871,44,False,True,extended_geometric_local_cross_section_width_v1.0
1,6,0.06,-0.456898,-0.364857,0.97567714,0.21921248,0.189943,0.189943,-0.073469,0.116474,57,False,True,extended_geometric_local_cross_section_width_v1.0
1,7,0.07,-0.447268,-0.362837,0.96697425,0.25487409,0.256211,0.256211,-0.128619,0.127592,82,False,True,extended_geometric_local_cross_section_width_v1.0
1,8,0.08,-0.437776,-0.36057,0.94902662,0.31519592,0.288807,0.288807,-0.159408,0.129399,104,False,True,extended_geometric_local_cross_section_width_v1.0
1,9,0.09,-0.429291,-0.357068,0.91262299,0.40880225,0.299339,0.299339,-0.175334,0.124006,116,False,True,extended_geometric_local_cross_section_width_v1.0
1,10,0.1,-0.42101,-0.352938,0.85682236,0.51561172,0.32946,0.32946,-0.219587,0.109873,112,False,True,extended_geometric_local_cross_section_width_v1.0
1,11,0.11,-0.413292,-0.347618,0.81639358,0.57749591,0.360545,0.360545,-0.245326,0.115218,133,False,True,extended_geometric_local_cross_section_width_v1.0
1,12,0.12,-0.405891,-0.341383,0.80608995,0.59179303,0.385078,0.385078,-0.261506,0.123573,142,False,True,extended_geometric_local_cross_section_width_v1.0
1,13,0.13,-0.398421,-0.335231,0.82523332,0.56479197,0.397409,0.397409,-0.262222,0.135187,142,False,True,extended_geometric_local_cross_section_width_v1.0
1,14,0.14,-0.389969,-0.330149,0.87287276,0.4879479,0.404644,0.404644,-0.249921,0.154723,147,False,True,extended_geometric_local_cross_section_width_v1.0
1,15,0.15,-0.381325,-0.32574,0.91678974,0.39937021,0.42336,0.42336,-0.239247,0.184113,148,False,True,extended_geometric_local_cross_section_width_v1.0
1,16,0.16,-0.372136,-0.322513,0.94395519,0.33007363,0.433003,0.433003,-0.236188,0.196815,155,False,True,extended_geometric_local_cross_section_width_v1.0
1,17,0.17,-0.362719,-0.319679,0.9646266,0.26362003,0.434719,0.434719,-0.228196,0.206524,161,False,True,extended_geometric_local_cross_section_width_v1.0
1,18,0.18,-0.353126,-0.317266,0.97371112,0.22778644,0.435353,0.435353,-0.232976,0.202378,152,False,True,extended_geometric_local_cross_section_width_v1.0
1,19,0.19,-0.343432,-0.315384,0.97740173,0.21139032,0.449043,0.445671,-0.235502,0.213541,152,False,True,extended_geometric_local_cross_section_width_v1.0
1,20,0.2,-0.333731,-0.313529,0.98102154,0.19389877,0.445671,0.44626,-0.234897,0.210774,163,False,True,extended_geometric_local_cross_section_width_v1.0
1,21,0.21,-0.324078,-0.311322,0.98321183,0.18246781,0.44626,0.44626,-0.23633,0.20993,159,False,True,extended_geometric_local_cross_section_width_v1.0
1,22,0.22,-0.314291,-0.30959,0.9856459,0.16882585,0.446825,0.446825,-0.233569,0.213256,159,False,True,extended_geometric_local_cross_section_width_v1.0
1,23,0.23,-0.304451,-0.30815,0.98951273,0.14444572,0.45185,0.449755,-0.24078,0.21107,170,False,True,extended_geometric_local_cross_section_width_v1.0
1,24,0.24,-0.2946,-0.306826,0.99232317,0.12367188,0.449755,0.450583,-0.241582,0.208173,178,False,True,extended_geometric_local_cross_section_width_v1.0
1,25,0.25,-0.28473,-0.305578,0.99327732,0.11575907,0.450583,0.449755,-0.245012,0.205571,179,False,True,extended_geometric_local_cross_section_width_v1.0
1,26,0.26,-0.274792,-0.304667,0.99359535,0.11299683,0.442812,0.446479,-0.244608,0.198204,169,False,True,extended_geometric_local_cross_section_width_v1.0
1,27,0.27,-0.264896,-0.30354,0.99321745,0.11627162,0.446479,0.442812,-0.243292,0.203187,167,False,True,extended_geometric_local_cross_section_width_v1.0
1,28,0.28,-0.255015,-0.302325,0.9923925,0.12311425,0.442794,0.444767,-0.243761,0.199033,166,False,True,extended_geometric_local_cross_section_width_v1.0
1,29,0.29,-0.245144,-0.300944,0.99273236,0.12034308,0.444767,0.444767,-0.243523,0.201244,172,False,True,extended_geometric_local_cross_section_width_v1.0
1,30,0.3,-0.235266,-0.299764,0.99421404,0.10741715,0.45509,0.45509,-0.253563,0.201527,180,False,True,extended_geometric_local_cross_section_width_v1.0
1,31,0.31,-0.225375,-0.298749,0.99505145,0.09936107,0.458209,0.458209,-0.256904,0.201305,176,False,True,extended_geometric_local_cross_section_width_v1.0
1,32,0.32,-0.215436,-0.298048,0.99506558,0.09921946,0.467868,0.467868,-0.257897,0.209971,182,False,True,extended_geometric_local_cross_section_width_v1.0
1,33,0.33,-0.20558,-0.296993,0.99441236,0.1055654,0.472282,0.472282,-0.262066,0.210216,181,False,True,extended_geometric_local_cross_section_width_v1.0
1,34,0.34,-0.19576,-0.295825,0.99286758,0.11922235,0.474,0.472282,-0.264582,0.209419,189,False,True,extended_geometric_local_cross_section_width_v1.0
