cow_id,record_type,method_version,source_centerline_method_version,coordinate_system,source_image_width_px,source_image_height_px,centerline_point_count,start_x_px,start_y_px,end_x_px,end_y_px,polyline_length_px,direct_distance_px,curvature_ratio,source_skeleton_image,points_file
1,curved_geometric_centerline,qa_rendered_geometric_centerline_record_v1.0,qa_image_medial_axis_v1.0,overlay_image_pixel_top_left_origin_x_right_y_down,512,474,107,174.0,328.0,480.0,324.0,324.597,306.026,1.060684,cattle_3d_extraction_66/skeleton_axis_comparison/skeleton_individual/cow_001_skeleton_centerline.png,cattle_3d_extraction_66/skeleton_axis_comparison/geometric_centerline_points.csv
2,curved_geometric_centerline,qa_rendered_geometric_centerline_record_v1.0,qa_image_medial_axis_v1.0,overlay_image_pixel_top_left_origin_x_right_y_down,512,474,98,180.0,322.0,464.0,296.0,301.537,285.188,1.05733,cattle_3d_extraction_66/skeleton_axis_comparison/skeleton_individual/cow_002_skeleton_centerline.png,cattle_3d_extraction_66/skeleton_axis_comparison/geometric_centerline_points.csv
4,curved_geometric_centerline,qa_rendered_geometric_centerline_record_v1.0,qa_image_medial_axis_v1.0,overlay_image_pixel_top_left_origin_x_right_y_down,512,474,95,218.0,234.0,500.0,240.0,292.794,282.064,1.038042,cattle_3d_extraction_66/skeleton_axis_comparison/skeleton_individual/cow_004_skeleton_centerline.png,cattle_3d_extraction_66/skeleton_axis_comparison/geometric_centerline_points.csv
5,curved_geometric_centerline,qa_rendered_geometric_centerline_record_v1.0,qa_image_medial_axis_v1.0,overlay_image_pixel_top_left_origin_x_right_y_down,512,474,100,212.0,252.0,498.0,312.0,303.988,292.226,1.040248,cattle_3d_extraction_66/skeleton_axis_comparison/skeleton_individual/cow_005_skeleton_centerline.png,cattle_3d_extraction_66/skeleton_axis_comparison/geometric_centerline_points.csv
6,curved_geometric_centerline,qa_rendered_geometric_centerline_record_v1.0,qa_image_medial_axis_v1.0,overlay_image_pixel_top_left_origin_x_right_y_down,512,474,106,188.0,272.0,502.0,212.0,332.189,319.681,1.039125,cattle_3d_extraction_66/skeleton_axis_comparison/skeleton_individual/cow_006_skeleton_centerline.png,cattle_3d_extraction_66/skeleton_axis_comparison/geometric_centerline_points.csv
13,curved_geometric_centerline,qa_rendered_geometric_centerline_record_v1.0,qa_image_medial_axis_v1.0,overlay_image_pixel_top_left_origin_x_right_y_down,512,474,91,226.0,340.0,478.0,354.0,268.596,252.389,1.064217,cattle_3d_extraction_66/skeleton_axis_comparison/skeleton_individual/cow_013_skeleton_centerline.png,cattle_3d_extraction_66/skeleton_axis_comparison/geometric_centerline_points.csv
16,curved_geometric_centerline,qa_rendered_geometric_centerline_record_v1.0,qa_image_medial_axis_v1.0,overlay_image_pixel_top_left_origin_x_right_y_down,512,474,84,252.0,246.0,500.0,230.0,255.347,248.516,1.027491,cattle_3d_extraction_66/skeleton_axis_comparison/skeleton_individual/cow_016_skeleton_centerline.png,cattle_3d_extraction_66/skeleton_axis_comparison/geometric_centerline_points.csv
19,curved_geometric_centerline,qa_rendered_geometric_centerline_record_v1.0,qa_image_medial_axis_v1.0,overlay_image_pixel_top_left_origin_x_right_y_down,512,474,70,288.0,284.0,494.0,288.0,218.303,206.039,1.059524,cattle_3d_extraction_66/skeleton_axis_comparison/skeleton_individual/cow_019_skeleton_centerline.png,cattle_3d_extraction_66/skeleton_axis_comparison/geometric_centerline_points.csv
20,curved_geometric_centerline,qa_rendered_geometric_centerline_record_v1.0,qa_image_medial_axis_v1.0,overlay_image_pixel_top_left_origin_x_right_y_down,512,474,109,134.0,220.0,428.0,294.0,333.687,303.17,1.100661,cattle_3d_extraction_66/skeleton_axis_comparison/skeleton_individual/cow_020_skeleton_centerline.png,cattle_3d_extraction_66/skeleton_axis_comparison/geometric_centerline_points.csv
21,curved_geometric_centerline,qa_rendered_geometric_centerline_record_v1.0,qa_image_medial_axis_v1.0,overlay_image_pixel_top_left_origin_x_right_y_down,512,474,107,138.0,264.0,424.0,318.0,321.346,291.053,1.104081,cattle_3d_extraction_66/skeleton_axis_comparison/skeleton_individual/cow_021_skeleton_centerline.png,cattle_3d_extraction_66/skeleton_axis_comparison/geometric_centerline_points.csv
