cow_id,ground_truth_weight_kg,skeleton_max_width_m,skeleton_max_width_station_from_rear_m,skeleton_max_width_center_x_m,skeleton_max_width_center_y_m,skeleton_local_tangent_x,skeleton_local_tangent_y,skeleton_left_boundary_x_m,skeleton_left_boundary_y_m,skeleton_right_boundary_x_m,skeleton_right_boundary_y_m,raw_width_at_selected_station_m,cross_section_point_count,pca_45_48_max_width_m,skeleton_minus_pca_m,absolute_difference_m,difference_vs_pca_percent,valid_profile_fraction,status,method_version,centerline_source
1,415.0,0.591242,0.62,0.080273,-0.271834,0.95614714,0.29288676,0.171053,-0.568189,-0.002114,-0.002875,0.591242,235,0.570137,0.021105,0.021105,3.7017,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
2,407.0,0.613452,0.65,0.033627,-0.262292,0.94222197,0.3349892,0.150688,-0.591549,-0.055815,-0.01072,0.616446,244,0.591295,0.022157,0.022157,3.7472,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
4,443.0,0.624801,0.63,0.363673,0.021547,0.99431812,-0.10644944,0.332424,-0.270334,0.399386,0.355133,0.629041,235,0.608925,0.015876,0.015876,2.6072,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
6,441.0,0.601082,0.68,0.267453,0.003541,0.94356891,0.33117626,0.367068,-0.280279,0.169201,0.283474,0.597468,230,0.579165,0.021917,0.021917,3.7842,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
13,410.0,0.58555,0.63,0.230307,-0.396758,0.99900853,0.04451913,0.245459,-0.736766,0.21939,-0.151797,0.58555,235,0.56025,0.0253,0.0253,4.5158,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
16,312.0,0.546342,0.56,0.441462,0.108488,0.9905496,-0.13715499,0.403755,-0.163835,0.478198,0.373797,0.542761,200,0.528906,0.017436,0.017436,3.2966,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
20,441.0,0.610626,0.71,-0.018918,0.04831,0.87987008,-0.47521431,-0.166677,-0.225269,0.123502,0.312003,0.610626,228,0.578143,0.032483,0.032483,5.6186,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
21,373.0,0.605174,0.69,0.014538,-0.089382,0.96715864,-0.2541735,-0.060096,-0.373372,0.090273,0.198801,0.591602,216,0.589629,0.015545,0.015545,2.6363,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
22,394.0,0.550487,0.67,-0.155451,0.10069,0.99703292,-0.0769763,-0.176375,-0.170323,-0.134172,0.376306,0.548256,194,0.540493,0.009994,0.009994,1.8491,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
23,439.0,0.600873,0.61,0.217374,0.255439,0.97596601,0.2179228,0.277316,-0.013011,0.146372,0.573421,0.600873,220,0.575478,0.025395,0.025395,4.4129,1.0,ok,extended_geometric_local_cross_section_width_v1.0,extended_geometric_centerline_records.json
