cow_id,ground_truth_weight_kg,ground_truth_heart_girth_cm,upper_valley_ratio_from_rear,lower_valley_ratio_from_rear,virtual_chest_ratio_from_rear,topview_dorsal_arc_m,rightview_lower_side_arc_m,leftview_lower_side_arc_m,three_view_simulated_girth_m,rightview_full_visible_half_arc_m,leftview_full_visible_half_arc_m,right_plus_left_full_visible_arc_m,rightview_chest_station_u_m,leftview_chest_station_u_m,rightview_valid_profile_count,leftview_valid_profile_count,rightview_median_profile_coverage,leftview_median_profile_coverage,rightview_ground_fit_inlier_fraction,leftview_ground_fit_inlier_fraction,rightview_source_ply,leftview_source_ply,simulated_girth_formula,side_body_correction,method_version,status
1,415.0,172.0,0.5803451721610638,0.5423786655710876,0.5613619188660757,0.542256484434365,0.47550683054222487,0.28039420295375794,1.2981575179303477,0.8821545202961272,0.6302960238984431,1.5124505441945701,-0.21427738132917618,0.2648282341473064,11,11,0.9861111111111112,1.0,0.9938,0.9404,dataset/1/right-12.09.07.778.ply,dataset/1/left-12.09.07.767.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
2,407.0,171.0,0.5035465156651197,0.5539011672316317,0.5287238414483757,0.6147879367488195,0.325274858304138,0.27470512418673504,1.2147679192396925,0.6878008602415223,0.5730915035870907,1.2608923638286131,-0.08278855128270934,0.3075195832568073,11,11,0.984375,1.0,0.9920666666666667,0.9519333333333333,dataset/2/right-12.15.22.188.ply,dataset/2/left-12.15.22.153.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
4,443.0,176.0,0.6081097436338758,0.5386114872185757,0.5733606154262257,0.639204894765904,0.43770345444697945,0.3397328016132647,1.4166411508261483,0.8035683718010351,0.7190915025378258,1.5226598743388609,-0.26029092884098814,0.1402344219632119,11,11,1.0,0.9705882352941176,0.9662,0.9882666666666666,dataset/4/right-12.24.08.096.ply,dataset/4/left-12.24.08.077.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
6,441.0,178.0,0.5811927504226382,0.5971888811682152,0.5891908157954266,0.5673140406744417,0.34043133957164656,0.3472058818113145,1.2549512620574026,0.7091824959368935,0.7001178458732332,1.4093003418101269,-0.21437027124325314,0.4062041501750038,11,11,0.9848484848484849,1.0,0.9631333333333333,0.9845333333333334,dataset/6/right-12.31.11.492.ply,dataset/6/left-12.31.11.526.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
13,410.0,179.0,0.5225323123652895,0.56796990474488,0.5452511085550847,0.559343730192192,0.3062789708420995,0.3321521931160097,1.197774894150301,0.6556163288120374,0.660652544695059,1.3162688735070964,-0.11822570534968091,0.17821074162802852,11,11,1.0,0.9666666666666667,0.9962,0.9100666666666667,dataset/13/right-12.59.51.501.ply,dataset/13/left-12.59.51.528.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
16,312.0,153.0,0.6392506795705036,0.574141814058693,0.6066962468145983,0.4805523552771785,0.313140740376056,0.2769594065181093,1.0706525021713438,0.6686702494882886,0.5686992447504762,1.2373694942387647,-0.28335552323090074,0.2967512141554344,11,11,0.9836065573770492,1.0,0.9553333333333334,0.9896,dataset/16/right-13.12.28.352.ply,dataset/16/left-13.12.28.373.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
20,441.0,181.0,0.5326749514826494,0.5601324232085592,0.5464036873456043,0.5800355807095773,0.2937442665536736,0.34977132937390104,1.2235511766371518,0.6180521919757969,0.7010806568047042,1.3191328487805012,-0.2976185143370367,0.11056958474057177,11,11,1.0,1.0,0.9442,0.9849333333333333,dataset/20/right-13.27.56.550.ply,dataset/20/left-13.27.56.516.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
21,373.0,168.0,0.5839516800767554,0.5674247457349604,0.5756882129058578,0.5528811845425495,0.31356300903148926,0.2965440303962831,1.1629882239703218,0.6561758477601232,0.6174968445603448,1.273672692320468,-0.21227128035408005,0.08812232339377313,11,11,1.0,1.0,0.9851333333333333,0.9726666666666667,dataset/21/right-13.31.25.534.ply,dataset/21/left-13.31.25.512.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
22,394.0,177.0,0.5110376502063166,0.5999137632856761,0.5554757067459963,0.5941524079389111,0.3707318201015828,0.3178979486309735,1.2827821766714673,0.7738817916613854,0.6324726725811962,1.4063544642425816,-0.2513769296245937,0.24764222020759685,11,11,0.9855072463768116,1.0,0.9243333333333333,0.9891333333333333,dataset/22/right-13.41.45.457.ply,dataset/22/left-13.41.45.421.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
23,439.0,177.0,0.5570387470937634,0.5684068847895545,0.562722815941659,0.5560200548652341,0.32623876119211315,0.3111158587306896,1.193374674788037,0.657434043142087,0.6454716684567954,1.3029057115988825,-0.26756429461552866,0.2460551020166435,11,11,1.0,1.0,0.8997333333333334,0.9928666666666667,dataset/23/right-13.45.59.323.ply,dataset/23/left-13.45.59.320.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
