cow_id,sample_role,right_source_ply,rightview_rear_boundary_x_m,rightview_head_boundary_x_m,rightview_core_length_m,top_rear_boundary_ratio,top_head_boundary_ratio,method_version,coordinate_system,status
1,application,dataset/1/right-12.09.07.778.ply,0.6460369209175111,-0.6523000790824889,1.298337,0.012255007297988962,0.7173471744803644,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
2,application,dataset/2/right-12.15.22.188.ply,0.6970929209175112,-0.510686079082489,1.2077790000000002,0.02271250882903422,0.7052975888442532,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
4,application,dataset/4/right-12.24.08.096.ply,0.40593892091751105,-0.9731840790824888,1.3791229999999999,-0.005912848485847236,0.7933169771895957,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
6,application,dataset/6/right-12.31.11.492.ply,0.6144389209175111,-0.8212960790824888,1.4357349999999998,-0.013602062832702733,0.759544284831371,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
13,train,dataset/13/right-12.59.51.501.ply,0.5013069209175111,-0.7679160790824888,1.2692229999999998,0.01261778773664697,0.7339393642148626,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
16,application,dataset/16/right-13.12.28.352.ply,0.2739969209175111,-0.9360030790824889,1.21,0.033144557025582215,0.7493421044526108,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
20,application,dataset/20/right-13.27.56.550.ply,0.8445369209175111,-0.502929079082489,1.347466,-0.0002776463713232748,0.7465652441161137,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
21,application,dataset/21/right-13.31.25.534.ply,0.7288349209175111,-0.503701079082489,1.232536,0.03976353341914542,0.7228772895300933,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
22,application,dataset/22/right-13.41.45.457.ply,0.9448339209175112,-0.47502907908248887,1.419863,0.003465394436221015,0.7922409162634733,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
23,application,dataset/23/right-13.45.59.323.ply,0.5393109209175111,-0.7906140790824889,1.329925,0.00039165854767020706,0.7563727715790725,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
24,application,dataset/24/right-13.49.32.068.ply,0.8408409209175112,-0.5083640790824888,1.349205,0.009586073265269847,0.7399654484829257,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
25,application,dataset/25/right-13.52.04.645.ply,0.5169109209175111,-0.791048079082489,1.307959,-0.0050218824625572955,0.7357442998707816,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
26,application,dataset/26/right-13.56.26.505.ply,0.729721920917511,-0.5845280790824889,1.31425,0.016414307627233053,0.7445249943464916,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
27,application,dataset/27/right-15.30.41.954.ply,1.181734920917511,-0.14441807908248894,1.326153,0.008474912469338949,0.7676630642266119,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
28,application,dataset/28/right-15.36.47.043.ply,0.4151519209175111,-0.8334580790824888,1.2486099999999998,0.01786931513222997,0.7564754388469762,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
39,application,dataset/39/right-16.21.22.394.ply,0.5331519209175111,-0.8941670790824889,1.427319,0.01237709543438681,0.810447290114027,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
50,application,dataset/50/right-17.57.16.366.ply,0.5038939209175111,-0.785434079082489,1.289328,-0.0034478872793764544,0.7209387510271708,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
51,validation,dataset/51/right-18.00.21.476.ply,0.6012389209175111,-0.7451460790824889,1.346385,-0.0011476540019700612,0.7350026324028617,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
76,train,dataset/76/right-19.45.11.352.ply,0.4302419209175111,-0.9096160790824888,1.339858,0.01267994918605045,0.7932960184369546,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
82,application,dataset/82/right-20.14.10.418.ply,0.5283219209175111,-0.8312920790824889,1.359614,0.007747010324414128,0.7773614717674151,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
87,application,dataset/87/right-20.31.00.370.ply,0.49845792091751107,-0.8184460790824888,1.3169039999999999,0.009092830914739461,0.747023702635477,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
97,train,dataset/97/right-12.01.06.346.ply,0.9079969209175112,-0.33175007908248894,1.2397470000000002,0.010220495219842907,0.7499938861945529,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
98,application,dataset/98/right-12.04.46.900.ply,0.872189920917511,-0.4650350790824889,1.3372249999999999,0.012041532590252792,0.7702908704811003,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
99,application,dataset/99/right-12.07.51.244.ply,0.5370049209175111,-0.6978950790824889,1.2349,0.022028822124101375,0.7244152312586083,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
100,application,dataset/100/right-12.13.31.385.ply,0.5722199209175111,-0.716831079082489,1.2890510000000002,0.011941434962134763,0.7377576137111616,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
102,validation,dataset/102/right-12.19.51.764.ply,0.8054299209175111,-0.3966340790824889,1.202064,0.022282896398749898,0.6980511318115743,top_right_fixed_rigid_endpoint_anchor_15train_5validation_v1.0,right_camera_x_m; head_at_lower_x; rear_at_higher_x,experimental_not_ground_truth_validated
