cow_id,point_index,station_axis_from_centroid_m,station_distance_from_rear_m,station_ratio_from_rear,raw_high_band_center_lateral_m,smoothed_high_band_center_lateral_m,center_x_m,center_y_m,surface_z_m,height_above_ground_m,peak_height_above_ground_m,high_band_width_m,profile_status,method_version
1,0,-0.76,0.022595,0.01225506,-0.07,-0.065,-0.460523,-0.367751,1.802905,1.156969,1.156969,0.06,measured,topview_back_high_band_centerline_v1.0
1,1,-0.75,0.032595,0.01767884,-0.06,-0.065,-0.450536,-0.367246,1.798243,1.161487,1.161787,0.06,measured,topview_back_high_band_centerline_v1.0
1,2,-0.74,0.042595,0.02310263,-0.065,-0.065,-0.440549,-0.36674,1.792928,1.166658,1.166658,0.05,measured,topview_back_high_band_centerline_v1.0
1,3,-0.73,0.052595,0.02852642,-0.065,-0.065,-0.430562,-0.366234,1.787523,1.171919,1.171919,0.05,measured,topview_back_high_band_centerline_v1.0
1,4,-0.72,0.062595,0.0339502,-0.065,-0.065,-0.420574,-0.365729,1.783766,1.175533,1.175533,0.05,measured,topview_back_high_band_centerline_v1.0
1,5,-0.71,0.072595,0.03937399,-0.065,-0.065,-0.410587,-0.365223,1.782393,1.176761,1.176761,0.05,measured,topview_back_high_band_centerline_v1.0
1,6,-0.7,0.082595,0.04479778,-0.06,-0.063333,-0.400684,-0.363053,1.781134,1.177979,1.178053,0.06,measured,topview_back_high_band_centerline_v1.0
1,7,-0.69,0.092595,0.05022156,-0.065,-0.061667,-0.390781,-0.360883,1.780238,1.178835,1.179042,0.05,measured,topview_back_high_band_centerline_v1.0
1,8,-0.68,0.102595,0.05564535,-0.06,-0.06,-0.380878,-0.358713,1.779102,1.17993,1.180295,0.06,measured,topview_back_high_band_centerline_v1.0
1,9,-0.67,0.112595,0.06106914,-0.06,-0.06,-0.370891,-0.358207,1.77725,1.181638,1.182037,0.06,measured,topview_back_high_band_centerline_v1.0
1,10,-0.66,0.122595,0.06649292,-0.06,-0.06,-0.360904,-0.357702,1.774679,1.184066,1.184469,0.06,measured,topview_back_high_band_centerline_v1.0
1,11,-0.65,0.132595,0.07191671,-0.06,-0.06,-0.350917,-0.357196,1.775057,1.183543,1.183692,0.06,measured,topview_back_high_band_centerline_v1.0
1,12,-0.64,0.142595,0.0773405,-0.055,-0.06,-0.34093,-0.35669,1.780797,1.17766,1.178102,0.05,measured,topview_back_high_band_centerline_v1.0
1,13,-0.63,0.152595,0.08276428,-0.06,-0.058333,-0.331027,-0.35452,1.783648,1.174768,1.175011,0.06,measured,topview_back_high_band_centerline_v1.0
1,14,-0.62,0.162595,0.08818807,-0.06,-0.056667,-0.321124,-0.35235,1.784514,1.173861,1.173903,0.06,measured,topview_back_high_band_centerline_v1.0
1,15,-0.61,0.172595,0.09361186,-0.055,-0.053333,-0.311305,-0.348515,1.784975,1.173462,1.173828,0.05,measured,topview_back_high_band_centerline_v1.0
1,16,-0.6,0.182595,0.09903564,-0.05,-0.05,-0.301486,-0.344681,1.784761,1.173738,1.173868,0.06,measured,topview_back_high_band_centerline_v1.0
1,17,-0.59,0.192595,0.10445943,-0.045,-0.046667,-0.291668,-0.340846,1.783475,1.175086,1.175134,0.07,measured,topview_back_high_band_centerline_v1.0
