cow_id,source_top_ply,centerline_point_count,measured_point_count,interpolated_point_count,measured_fraction,centerline_start_ratio_from_rear,centerline_end_ratio_from_rear,centerline_3d_length_m,median_high_band_width_m,maximum_high_band_width_m,median_absolute_lateral_offset_from_pca_m,maximum_absolute_lateral_offset_from_pca_m,status,method_version,recorded_on
1,point_clouds/cow_001_top_cattle.ply,131,131,0,1.0,0.012255,0.717347,1.346122,0.11,0.19,0.01,0.065,ok,topview_back_high_band_centerline_v1.0,2026-09-06
2,point_clouds/cow_002_top_cattle.ply,123,123,0,1.0,0.022712,0.705298,1.265676,0.15,0.2,0.045,0.08,ok,topview_back_high_band_centerline_v1.0,2026-09-06
4,point_clouds/cow_004_top_cattle.ply,139,138,1,0.992806,-0.005913,0.793317,1.443792,0.12,0.21,0.025,0.05,ok,topview_back_high_band_centerline_v1.0,2026-09-06
6,point_clouds/cow_006_top_cattle.ply,146,138,8,0.945205,-0.013602,0.759545,1.511007,0.145,0.21,0.01,0.08,ok,topview_back_high_band_centerline_v1.0,2026-09-06
13,point_clouds/cow_013_top_cattle.ply,128,128,0,1.0,0.012618,0.733939,1.306678,0.13,0.19,0.045,0.055,ok,topview_back_high_band_centerline_v1.0,2026-09-06
16,point_clouds/cow_016_top_cattle.ply,122,122,0,1.0,0.033145,0.749342,1.247041,0.08,0.15,0.031667,0.045833,ok,topview_back_high_band_centerline_v1.0,2026-09-06
20,point_clouds/cow_020_top_cattle.ply,137,137,0,1.0,-0.000278,0.746565,1.411256,0.12,0.18,0.021667,0.044167,ok,topview_back_high_band_centerline_v1.0,2026-09-06
21,point_clouds/cow_021_top_cattle.ply,125,125,0,1.0,0.039764,0.722877,1.295278,0.11,0.2,0.015,0.045,ok,topview_back_high_band_centerline_v1.0,2026-09-06
22,point_clouds/cow_022_top_cattle.ply,143,143,0,1.0,0.003466,0.792241,1.490818,0.13,0.19,0.02,0.07,ok,topview_back_high_band_centerline_v1.0,2026-09-06
23,point_clouds/cow_023_top_cattle.ply,134,134,0,1.0,0.000392,0.756373,1.393783,0.14,0.2,0.05,0.09,ok,topview_back_high_band_centerline_v1.0,2026-09-06
24,point_clouds/cow_024_top_cattle.ply,136,136,0,1.0,0.009586,0.739965,1.397797,0.15,0.19,0.055,0.08,ok,topview_back_high_band_centerline_v1.0,2026-09-06
25,point_clouds/cow_025_top_cattle.ply,134,133,1,0.992537,-0.005022,0.735744,1.381845,0.12,0.19,0.021667,0.06,ok,topview_back_high_band_centerline_v1.0,2026-09-06
26,point_clouds/cow_026_top_cattle.ply,133,133,0,1.0,0.016414,0.744525,1.35786,0.12,0.21,0.025,0.04,ok,topview_back_high_band_centerline_v1.0,2026-09-06
27,point_clouds/cow_027_top_cattle.ply,135,135,0,1.0,0.008475,0.767663,1.382742,0.15,0.23,0.02,0.045,ok,topview_back_high_band_centerline_v1.0,2026-09-06
28,point_clouds/cow_028_top_cattle.ply,129,129,0,1.0,0.017869,0.756475,1.342646,0.12,0.17,0.065,0.115,ok,topview_back_high_band_centerline_v1.0,2026-09-06
39,point_clouds/cow_039_top_cattle.ply,144,144,0,1.0,0.012377,0.810448,1.48187,0.14,0.19,0.02,0.04,ok,topview_back_high_band_centerline_v1.0,2026-09-06
50,point_clouds/cow_050_top_cattle.ply,134,134,0,1.0,-0.003448,0.720939,1.382397,0.09,0.18,0.055,0.09,ok,topview_back_high_band_centerline_v1.0,2026-09-06
51,point_clouds/cow_051_top_cattle.ply,136,136,0,1.0,-0.001148,0.735003,1.413144,0.12,0.19,0.015,0.045,ok,topview_back_high_band_centerline_v1.0,2026-09-06
76,point_clouds/cow_076_top_cattle.ply,135,135,0,1.0,0.01268,0.793296,1.38644,0.14,0.18,0.025,0.04,ok,topview_back_high_band_centerline_v1.0,2026-09-06
82,point_clouds/cow_082_top_cattle.ply,137,137,0,1.0,0.007747,0.777361,1.409496,0.12,0.19,0.02,0.074167,ok,topview_back_high_band_centerline_v1.0,2026-09-06
87,point_clouds/cow_087_top_cattle.ply,133,133,0,1.0,0.009093,0.747023,1.366369,0.12,0.19,0.028333,0.05,ok,topview_back_high_band_centerline_v1.0,2026-09-06
97,point_clouds/cow_097_top_cattle.ply,125,125,0,1.0,0.010221,0.749994,1.274923,0.13,0.19,0.008333,0.03,ok,topview_back_high_band_centerline_v1.0,2026-09-06
98,point_clouds/cow_098_top_cattle.ply,136,136,0,1.0,0.012042,0.770291,1.399235,0.12,0.17,0.046667,0.08,ok,topview_back_high_band_centerline_v1.0,2026-09-06
99,point_clouds/cow_099_top_cattle.ply,125,125,0,1.0,0.022029,0.724415,1.270629,0.1,0.17,0.04,0.065,ok,topview_back_high_band_centerline_v1.0,2026-09-06
100,point_clouds/cow_100_top_cattle.ply,130,130,0,1.0,0.011941,0.737758,1.323113,0.12,0.19,0.075,0.095,ok,topview_back_high_band_centerline_v1.0,2026-09-06
102,point_clouds/cow_102_top_cattle.ply,123,123,0,1.0,0.022283,0.698051,1.280435,0.13,0.18,0.06,0.09,ok,topview_back_high_band_centerline_v1.0,2026-09-06
103,point_clouds/cow_103_top_cattle.ply,136,136,0,1.0,0.016454,0.733497,1.386628,0.14,0.22,0.035,0.05,ok,topview_back_high_band_centerline_v1.0,2026-09-06
104,point_clouds/cow_104_top_cattle.ply,119,119,0,1.0,0.019187,0.750682,1.214189,0.11,0.17,0.02,0.054167,ok,topview_back_high_band_centerline_v1.0,2026-09-06
105,point_clouds/cow_105_top_cattle.ply,117,117,0,1.0,0.011342,0.73385,1.205001,0.09,0.14,0.013333,0.064167,ok,topview_back_high_band_centerline_v1.0,2026-09-06
107,point_clouds/cow_107_top_cattle.ply,117,117,0,1.0,0.030736,0.710536,1.195667,0.12,0.16,0.026667,0.045,ok,topview_back_high_band_centerline_v1.0,2026-09-06
110,point_clouds/cow_110_top_cattle.ply,110,110,0,1.0,0.03651,0.699321,1.135033,0.11,0.18,0.044167,0.095,ok,topview_back_high_band_centerline_v1.0,2026-09-06
111,point_clouds/cow_111_top_cattle.ply,130,130,0,1.0,-0.002901,0.707729,1.334516,0.12,0.2,0.0425,0.08,ok,topview_back_high_band_centerline_v1.0,2026-09-06
112,point_clouds/cow_112_top_cattle.ply,156,156,0,1.0,0.006439,0.83198,1.62281,0.15,0.23,0.02,0.03,ok,topview_back_high_band_centerline_v1.0,2026-09-06
114,point_clouds/cow_114_top_cattle.ply,139,139,0,1.0,0.007622,0.750593,1.428685,0.15,0.21,0.023333,0.04,ok,topview_back_high_band_centerline_v1.0,2026-09-06
