cow_id,ear_outline_visibility_code,ear_outline_at_least_one_visible,ear_outline_visibility_label_zh,ear_outline_annotation_source,annotation_version,annotated_on,notes,analysis_data_quality_code,analysis_include,analysis_data_quality_label_zh,analysis_data_quality_source,analysis_data_quality_annotated_on,analysis_data_quality_notes
1,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
2,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
3,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
4,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
5,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,unqualified,FALSE,不合格,user_review,2026-09-05,用户指定为不合格数据，后续分析排除
6,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
7,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
8,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
9,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
10,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
11,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
12,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
13,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
14,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
15,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
16,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
17,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
18,none_visible,FALSE,完全看不到耳朵,user_provided_list,1.0,2026-09-05,,not_assessed,,未评估,,,
19,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,unqualified,FALSE,不合格,user_review,2026-09-05,用户指定为不合格数据，后续分析排除
20,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
21,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
22,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
23,at_least_one_visible,TRUE,至少可见1个耳朵轮廓,user_provided_list,1.0,2026-09-05,,qualified,TRUE,合格,user_review,2026-09-05,
