cow_id,ground_truth_weight_kg,elliptical_core_torso_volume_m3,rightview_median_body_depth_m,core_1cm_slice_median_height_m,core_1cm_slice_count,core_1cm_grid_cell_median_height_m,virtual_chest_width_m,rump_5pct_height_m,rump_5pct_width_m,rump_5pct_width_robust_p98_p02_m,rump_5pct_slice_point_count,rump_station_ratio_from_rear,rump_slice_thickness_m,rump_height_definition,rump_width_definition,rump_width_robust_definition,virtual_chest_width_definition
1,415.0,0.290394554620516,0.6757988169104061,1.1507092104262102,130,1.131891,0.36012869339302067,1.1819980389297031,0.4084770794325091,0.37821393617544063,137,0.05,0.01,maximum_ground_relative_height_in_1cm_slice,maximum_lateral_minus_minimum_lateral_in_1cm_slice,lateral_98th_minus_2nd_percentile_in_1cm_slice,upper_and_lower_valley_perpendicular_halfwidths_to_pca_centerline_summed
2,407.0,0.2711632261801472,0.6084603244343795,1.1308717066349268,122,1.108793,0.41343625292520925,1.187718457060769,0.3670882791259895,0.35035885577476267,139,0.05,0.01,maximum_ground_relative_height_in_1cm_slice,maximum_lateral_minus_minimum_lateral_in_1cm_slice,lateral_98th_minus_2nd_percentile_in_1cm_slice,upper_and_lower_valley_perpendicular_halfwidths_to_pca_centerline_summed
4,443.0,0.2868111448534655,0.5469341357264901,1.1336268457883896,138,1.116763,0.39884535249732067,1.2088570308351425,0.37843876648400243,0.35515558908464157,129,0.05,0.01,maximum_ground_relative_height_in_1cm_slice,maximum_lateral_minus_minimum_lateral_in_1cm_slice,lateral_98th_minus_2nd_percentile_in_1cm_slice,upper_and_lower_valley_perpendicular_halfwidths_to_pca_centerline_summed
6,441.0,0.308803928721342,0.6015289680091597,1.1538043170769996,145,1.139913,0.4090416453442476,1.1724805848975044,0.35012220758817103,0.32192940959993194,95,0.05,0.01,maximum_ground_relative_height_in_1cm_slice,maximum_lateral_minus_minimum_lateral_in_1cm_slice,lateral_98th_minus_2nd_percentile_in_1cm_slice,upper_and_lower_valley_perpendicular_halfwidths_to_pca_centerline_summed
13,410.0,0.2571961811100165,0.5740156605076645,1.0997396688001086,127,1.086559,0.3938928816798446,1.1798637541584944,0.3390295607812759,0.3224840468611708,132,0.05,0.01,maximum_ground_relative_height_in_1cm_slice,maximum_lateral_minus_minimum_lateral_in_1cm_slice,lateral_98th_minus_2nd_percentile_in_1cm_slice,upper_and_lower_valley_perpendicular_halfwidths_to_pca_centerline_summed
16,312.0,0.21982195852324463,0.6097575591499617,1.0299869552594745,121,1.020239,0.33937054082018525,1.0715304675301942,0.3110855472980622,0.2988291685967252,102,0.05,0.01,maximum_ground_relative_height_in_1cm_slice,maximum_lateral_minus_minimum_lateral_in_1cm_slice,lateral_98th_minus_2nd_percentile_in_1cm_slice,upper_and_lower_valley_perpendicular_halfwidths_to_pca_centerline_summed
20,441.0,0.25289546295929444,0.5551052135943099,1.1374528030911872,136,1.122016,0.4131774007647704,1.174901559240649,0.4548692040290264,0.42523723047243306,143,0.05,0.01,maximum_ground_relative_height_in_1cm_slice,maximum_lateral_minus_minimum_lateral_in_1cm_slice,lateral_98th_minus_2nd_percentile_in_1cm_slice,upper_and_lower_valley_perpendicular_halfwidths_to_pca_centerline_summed
21,373.0,0.23943443749805207,0.5914234409376016,1.0813048670674805,124,1.069767,0.3955070478821157,1.1449679630981469,0.31385365566828327,0.30033536243558856,102,0.05,0.01,maximum_ground_relative_height_in_1cm_slice,maximum_lateral_minus_minimum_lateral_in_1cm_slice,lateral_98th_minus_2nd_percentile_in_1cm_slice,upper_and_lower_valley_perpendicular_halfwidths_to_pca_centerline_summed
22,394.0,0.2951805249955506,0.5990579405906566,1.1331370935701406,142,1.11167,0.406050266984301,1.2611980386999408,0.4471573614883855,0.3968293118763868,152,0.05,0.01,maximum_ground_relative_height_in_1cm_slice,maximum_lateral_minus_minimum_lateral_in_1cm_slice,lateral_98th_minus_2nd_percentile_in_1cm_slice,upper_and_lower_valley_perpendicular_halfwidths_to_pca_centerline_summed
23,439.0,0.2787709566451795,0.5936745435001689,1.1142049011327826,133,1.111065,0.41104081174812446,1.1808638462797845,0.4033894538723235,0.3611716572172835,139,0.05,0.01,maximum_ground_relative_height_in_1cm_slice,maximum_lateral_minus_minimum_lateral_in_1cm_slice,lateral_98th_minus_2nd_percentile_in_1cm_slice,upper_and_lower_valley_perpendicular_halfwidths_to_pca_centerline_summed
