model,n,model_type,validation,features,loocv_pearson_r,loocv_predictive_r_squared,loocv_rmse_kg,loocv_mae_kg
ellipse_volume,61,ordinary_least_squares_linear_regression,leave_one_out_cross_validation,V,0.6433868869741779,0.4126889865262786,52.65322198395513,39.71141969500138
ellipse_volume_plus_rightview_median_depth_original,61,ordinary_least_squares_linear_regression,leave_one_out_cross_validation,V+D,0.6507482830488351,0.4192010877072787,52.360498981250885,39.081256126640746
ellipse_volume_plus_slice_median_height,61,ordinary_least_squares_linear_regression,leave_one_out_cross_validation,V+H_slice,0.627731283628123,0.3910670452023972,53.613680083418295,40.25999616968512
ellipse_volume_plus_virtual_chest_width,61,ordinary_least_squares_linear_regression,leave_one_out_cross_validation,V+W_chest,0.6292254371907869,0.3926593769275073,53.54353554100954,40.299251844698055
ellipse_volume_plus_slice_median_height_plus_virtual_chest_width,61,ordinary_least_squares_linear_regression,leave_one_out_cross_validation,V+H_slice+W_chest,0.6194254228450741,0.37849907172811237,54.16412980962264,40.40815104134537
ellipse_volume_plus_grid_median_height_plus_virtual_chest_width_sensitivity,61,ordinary_least_squares_linear_regression,leave_one_out_cross_validation,V+H_grid+W_chest,0.6200426280967356,0.37910915367030085,54.13753880279887,40.2413630888958
ellipse_volume_plus_rump_5pct_height,61,ordinary_least_squares_linear_regression,leave_one_out_cross_validation,V+H_rump,0.6305571886158817,0.3952085602843287,53.43104856895681,40.51223885677669
ellipse_volume_plus_rump_5pct_width,61,ordinary_least_squares_linear_regression,leave_one_out_cross_validation,V+W_rump,0.6245086938193123,0.3871058894761521,53.78777796950114,40.53940451318063
ellipse_volume_plus_rump_5pct_height_plus_width,61,ordinary_least_squares_linear_regression,leave_one_out_cross_validation,V+H_rump+W_rump,0.6117853931558491,0.3696843713914295,54.54688032164738,41.39840398075098
ellipse_volume_plus_rump_5pct_height_plus_robust_width_sensitivity,61,ordinary_least_squares_linear_regression,leave_one_out_cross_validation,V+H_rump+W_rump_robust,0.6117423036855921,0.3696622959947009,54.54783550459528,41.33790798242447
