candidate_group,added_position_count,total_predictor_count,model,selection_method,validation_r,validation_r_squared_correlation,validation_predictive_r_squared,validation_rmse_kg,validation_mae_kg,outer_selected_alpha_median,most_frequently_selected_positions,method_version
width,1,2,ols,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6403567035089216,0.4100567077288129,0.4079306212082868,52.8660886190911,39.16734535574205,,W4,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,2,ridge,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6356033265876693,0.40399158876931135,0.40374605316528867,53.052580477972214,39.510023246160564,6.309573444801943,W4,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,3,ols,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.651247809410877,0.424123709262466,0.4207407815908504,52.29104926341487,38.61971366055252,,"W4,W5",elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,3,ridge,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6501870164746425,0.42274315639219706,0.4208601244632413,52.28566230945287,38.614353340094745,1.0,"W4,W5",elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,4,ols,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6218449212833145,0.38669110612585156,0.3765849530414529,54.24747390805921,40.035490906807944,,"W4,W5,W1",elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,4,ridge,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6222326141037767,0.3871734260544195,0.38150795786907565,54.032857736589676,40.041274951450184,2.5118864315095824,"W4,W5,W1",elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,2,ols,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6268366398783332,0.3929241730939591,0.38903592958605626,53.70302072999627,40.198434684178125,,H1,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,1,2,ridge,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.625007858939422,0.39063482373604047,0.3905089755628537,53.63824215940566,40.14380853210127,6.309573444801943,H1,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,2,3,ols,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6137892705807577,0.37673726868005863,0.3709729963061704,54.491093642518585,41.28729674007037,,"H7,H1",elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,2,3,ridge,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.612369015189022,0.37499581076357263,0.3739203443974236,54.36328291866136,40.73151302533955,6.309573444801943,"H7,H1",elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,4,ols,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6141323628727344,0.37715855912764795,0.3688277349299838,54.583933965138975,41.51260157071253,,"H7,H8,H1",elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
height,3,4,ridge,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6091261763768798,0.3710346987475177,0.3675291499437915,54.64005608908595,41.34094386409255,1.584893192461114,"H7,H8,H1",elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,2,ols,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6403567035089216,0.4100567077288129,0.4079306212082868,52.8660886190911,39.16734535574205,,W4,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,1,2,ridge,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6356033265876693,0.40399158876931135,0.40374605316528867,53.052580477972214,39.510023246160564,6.309573444801943,W4,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,3,ols,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.651247809410877,0.424123709262466,0.4207407815908504,52.29104926341487,38.61971366055252,,"W4,W5",elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,2,3,ridge,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6501870164746425,0.42274315639219706,0.4208601244632413,52.28566230945287,38.614353340094745,1.0,"W4,W5",elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,4,ols,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6182609079947404,0.3822465503544809,0.3696209218066293,54.549625684174984,40.22018095355216,,"W4,W5,W1",elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,4,ridge,forward selection by inner 5-fold RMSE inside each outer LOOCV training set,0.6185660354857829,0.38262394025659885,0.37486890612577917,54.32208490497502,40.143337557500175,1.584893192461114,"W4,W5,W1",elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
