candidate_group,added_position_count,model,position,outer_fold_selection_count,outer_fold_selection_rate,method_version
width,1,ols,W1,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ols,W2,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ols,W3,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ols,W4,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ols,W5,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ols,W6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ols,W7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ols,W8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ols,W9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ols,W10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ols,W11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ridge,W1,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ridge,W2,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ridge,W3,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ridge,W4,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ridge,W5,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ridge,W6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ridge,W7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ridge,W8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ridge,W9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ridge,W10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,1,ridge,W11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ols,W1,2,0.03278688524590164,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ols,W2,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ols,W3,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ols,W4,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ols,W5,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ols,W6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ols,W7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ols,W8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ols,W9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ols,W10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ols,W11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ridge,W1,2,0.03278688524590164,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ridge,W2,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ridge,W3,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ridge,W4,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ridge,W5,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ridge,W6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ridge,W7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ridge,W8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ridge,W9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ridge,W10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,2,ridge,W11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ols,W1,24,0.39344262295081966,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ols,W2,12,0.19672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ols,W3,20,0.32786885245901637,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ols,W4,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ols,W5,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ols,W6,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ols,W7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ols,W8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ols,W9,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ols,W10,7,0.11475409836065574,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ols,W11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ridge,W1,24,0.39344262295081966,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width,3,ridge,W2,12,0.19672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
