cow_id,ground_truth_weight_kg,ground_truth_heart_girth_cm,maximum_smoothed_width_m,rear_boundary_axis_m,head_boundary_axis_m,torso_length_m,projected_area_m2,rear_boundary_found,head_boundary_found,rear_stop_reason,head_stop_reason,rule_suitable,method_version
1,415.0,172.0,0.562353,-0.705,0.445,1.15,0.525376,True,True,continuous_3cm_below_65pct,continuous_5cm_below_60pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
2,407.0,171.0,0.580686,-0.675,0.465,1.14,0.537829,True,True,continuous_3cm_below_65pct,single_below_50pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
4,443.0,176.0,0.599646,-0.595,0.555,1.15,0.559164,True,True,continuous_3cm_below_65pct,continuous_5cm_below_60pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
6,441.0,178.0,0.569749,-0.695,0.555,1.25,0.58508,True,True,continuous_3cm_below_65pct,continuous_5cm_below_60pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
13,410.0,179.0,0.551978,-0.655,0.435,1.09,0.504995,True,True,continuous_3cm_below_65pct,continuous_5cm_below_60pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
16,312.0,153.0,0.522486,-0.585,0.565,1.15,0.475502,True,True,continuous_3cm_below_65pct,single_below_50pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
20,441.0,181.0,0.570173,-0.745,0.465,1.21,0.574564,True,True,continuous_3cm_below_65pct,continuous_5cm_below_60pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
21,373.0,168.0,0.580411,-0.635,0.465,1.1,0.510902,True,True,continuous_3cm_below_65pct,continuous_5cm_below_60pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
22,394.0,177.0,0.534933,-0.725,0.485,1.21,0.546963,True,True,continuous_3cm_below_65pct,continuous_5cm_below_60pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
23,439.0,177.0,0.569046,-0.685,0.505,1.19,0.560354,True,True,continuous_3cm_below_65pct,continuous_5cm_below_60pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
24,441.0,177.0,0.550416,-0.745,0.455,1.2,0.560094,True,True,continuous_3cm_below_65pct,continuous_5cm_below_60pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
25,434.0,174.0,0.524766,-0.765,0.495,1.26,0.555192,True,True,single_below_50pct,continuous_5cm_below_60pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
26,414.0,174.0,0.517033,-0.745,0.465,1.21,0.540756,True,True,continuous_3cm_below_65pct,continuous_5cm_below_60pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
27,400.0,174.0,0.548951,-0.685,0.595,1.28,0.601821,True,True,continuous_3cm_below_65pct,single_below_50pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
28,464.0,183.0,0.562628,-0.675,0.535,1.21,0.567857,True,True,continuous_3cm_below_65pct,single_below_50pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
39,437.0,179.0,0.575692,-0.675,0.575,1.25,0.600746,True,True,continuous_3cm_below_65pct,continuous_5cm_below_60pct,True,pca_width_head60_5cm_rear65_3cm_immediate50_trapezoid_v1.0
